Descripción del Artículo,Precio Mayoreo,Proveedor
LERCANIDIPINA10MG X30 TAB REC GREENPHARMA,44.7,Drolvilla Importado
LEVOFLOXACINA 500 MG X 10 TAB FARMAMED   ,15.61,Drolvilla Importado
LEVOFLOXACINA 750 MG TAB X 7 LATTAN MEDIC  ,21.75,Drolvilla Importado
LEVONORGESTREL 1.5 MG X 1 TAB TIARES (NORLEVO / PLUSONE)    ,15.61,Drolvilla Importado
LEVOTIROXINA 100 MG X 30 DAC,18.4,Drolvilla Importado
LOSARTAN POT 50 MG X 30 TAB BUKA         ,16.73,Drolvilla Importado
LOSARTAN POT 50 MG X 30 TAB DAC   ,13.38,Drolvilla Importado
LOSARTAN POT 50 MG X 30 TAB FARMAMED,14.13,Drolvilla Importado
MELOXICAM 15 MG TAB X 10 FARMAMED,4.46,Drolvilla Importado
MELOXICAM 15 MG TAB X 10 LATTAN MEDIC     ,12.08,Drolvilla Importado
MEMANTINA 10 MG X 10 TAB- FARMAMED,8.92,Drolvilla Importado
METFORMINA 500 MG X 30 TAB DAC      ,12.55,Drolvilla Importado
METFORMINA 850 MG X 30 TAB LATTAN,14.5,Drolvilla Importado
METRONIDAZOL 500 MG X 10 TAB LATTAN MEDI      ,8.46,Drolvilla Importado
METRONIDAZOL-MICONAZOL KIT VAG X 6 OVULOS,46.84,Drolvilla Importado
MONTELUKAST 10 MG X 30 TAB GREENPHARMA,22.95,Drolvilla Importado
MONTELUKAST+DESLORATADINA 10MG/5MG X 10 TAB GREENPHARMA,24.53,Drolvilla Importado
"MONTELUKAST+DESLORATADINA 5MG/2,5MG X 10 TAB GREENPHARMA",22.4,Drolvilla Importado
MULTIVITAMINICO TABL X 60,42.93,Drolvilla Importado
NITAZOXANIDA 500 MG X 10 TABR DAC  ,27.88,Drolvilla Importado
OMEPRAZOL 20 MG PAC X 10 TAB + 10 TAB  ,11.15,Drolvilla Importado
OMEPRAZOL 20 MG X 20 CAPS DAC,11.43,Drolvilla Importado
PANTOPRAZOL 40 MG TAB R X 14 LATTAN MEDI ,14.5,Drolvilla Importado
PREGABALINA  75MG X 14 CAPS LATTAN     ,14.5,Drolvilla Importado
PROGESTERONA 100 MG TAB X 10 TIARES      ,59.1,Drolvilla Importado
PROGESTERONA 200 MG TAB X 10 TIARES    ,71.37,Drolvilla Importado
PROPRANOLOL 40MG X 10 TAB FARMAMED  ,7.25,Drolvilla Importado
QUETIAPINA 100 MG X 10 TAB- FARMAMED   ,8.92,Drolvilla Importado
RISPERIDONA 1 MG X 20 TAB- FARMAMED,8.36,Drolvilla Importado
RISPERIDONA 2 MG X 20 TAB-FARMAMED,8.92,Drolvilla Importado
SABEMIEL BERRO+CEBOLLA MORADA X 180 ML     ,25.65,Drolvilla Importado
SABEMIEL BERRO+EUCALIPTO X 180 ML   ,25.65,Drolvilla Importado
SABEMIEL BERRO+ZABILA+JENGIBRE X 180 ML   ,25.65,Drolvilla Importado
SABEMIEL KIDS SABILA-MIEL JBE X 120 ML,26.02,Drolvilla Importado
SABEMIEL PLUS X 180 ML        ,25.65,Drolvilla Importado
SECNIDAZOL 500 MG X 4 TAB FARMAMED   ,7.81,Drolvilla Importado
SERTRALINA 50MG X 10 TAB LATTAN        ,10.97,Drolvilla Importado
SYVIR FAVIPIRAVIR 200 MG X 40 TAB,241.62,Drolvilla Importado
TIZANIDINA 2 MG TAB X 30 LATTAN MEDIC    ,60.4,Drolvilla Importado
TRIMIC FORTE (METRON-MICON-LIDO) X 7 OVU     ,59.1,Drolvilla Importado
VENLAFAXINA XR LP 75 MG X 14 CAP LATTAN ,36.24,Drolvilla Importado
VITAMINA C +ZINC+MAGN+VIT D3 X 60 CAP LATTAN MEDIC,60.4,Drolvilla Importado
VITAMINA D3 5.000UNI X 30 CAPS DROVENPLUS,25.37,Drolvilla Importado
,0.0,Drolvilla Importado
,0.0,Drolvilla Importado
,0.0,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
,,Drolvilla Importado
