Descripción del Artículo,Precio Mayoreo,Proveedor
CILINDRO DE ALUMINIO X 416 LB (DYNAMICS),1002.68,Gracitana Material Medico
CURITAS BRIUTCARE CIRCULAR X 100 UND    ,25.94,Gracitana Material Medico
CURITAS BRIUTCARE MIXTOS X 20 UND       ,10.24,Gracitana Material Medico
CUTIMED SORBACT 10 X 10 CM (GENIACARE)  ,104.12,Gracitana Material Medico
DEXTRO-SAL N28 AL 0.30% (BEHRENS)       ,23.84,Gracitana Material Medico
DEXTRO-SAL N29 AL 0.45% /BEHRENS)       ,29.83,Gracitana Material Medico
DEXTROSA EN A/DEST N1 AL 5% X 500 ML (BE,24.38,Gracitana Material Medico
DEXTROSA EN A/DEST N2 AL 10 % X 500 ML  ,40.63,Gracitana Material Medico
ECGEL GEL P/TRANSMISION ELECTRICA X 250 ,21.22,Gracitana Material Medico
EQUIPO DE TRANSFUSION DE SANGRE         ,19.4,Gracitana Material Medico
GASA ESTERIL 4 X 4 SOBRE X 2 (GROSSMED) ,1.69,Gracitana Material Medico
GASA YARDA X 100 (HBIOSCIENCE)          ,141.96,Gracitana Material Medico
GASA YARDA X 100 (IMSUMEDICAL)          ,109.93,Gracitana Material Medico
GORRO ENFERMERA BLANCO X 50 UND (DEXX)  ,23.22,Gracitana Material Medico
GUANTE DE NITRILO HALYARD T L X 100UND  ,241.31,Gracitana Material Medico
GUANTES DE EXAMEN LATEX TALLA L X 100 UN,96.96,Gracitana Material Medico
GUANTES DE EXAMEN TALLA S X 100         ,204.85,Gracitana Material Medico
GUANTES DE POLIETILENO X 50 PARES (DEXX),7.74,Gracitana Material Medico
GUANTES NITRILO AZUAL TALLA L X 100 UND ,74.93,Gracitana Material Medico
GUANTES NITRILO AZUL TALLA M X 100 UND  ,74.93,Gracitana Material Medico
GUANTES NITRILO AZUL TALLA S X 100 UND  ,74.93,Gracitana Material Medico
GUATA ORTOBAN 2 X 3 YDS 5CM X 6 UND     ,93.53,Gracitana Material Medico
GUATA ORTOBAN 3 X 3 YDS 7.5 CM X 6 UND  ,97.1,Gracitana Material Medico
JELCO #20 PLUSMEDIC                     ,4.69,Gracitana Material Medico
JELCO #24 (SMITHS)                      ,3.99,Gracitana Material Medico
JERINGA 10 CC 21 X 1 1/2 X 100 UND      ,112.87,Gracitana Material Medico
JERINGA 10 CC 21 X 1 1/2 X 100 UND (HB  ,120.15,Gracitana Material Medico
JERINGA 5 CC 21 X 1 1/2 100 UND (MC MEDI,95.1,Gracitana Material Medico
JERINGA 5 CC 21 X 1 1/2 X 100 UND       ,82.95,Gracitana Material Medico
KIT DE OBSTETRICIA 40 GR (DEXX)         ,78.55,Gracitana Material Medico
KIT DE PACIENTE 40 GR (DEXX)            ,10.53,Gracitana Material Medico
LAPIZ ELECTROBISTURI (PLUSMEDIC)        ,30.54,Gracitana Material Medico
LEUKOMED I.V FILM 7 X 9 CM (GENIACARE)  ,7.22,Gracitana Material Medico
LEUKOMED T 8 X 10 CM (GENIACARE)        ,8.89,Gracitana Material Medico
LEUKOMED T PLUS 10 X 25 CM (GENIACARE)  ,36.81,Gracitana Material Medico
MACROGOTERO EN Y (BIOSCIENCE)           ,3.89,Gracitana Material Medico
MASCARILLA AZUL CON LIGA X 50 UND       ,42.76,Gracitana Material Medico
MASCARILLA DE OXIGENO ADULTO PLUSMEDIC  ,9.38,Gracitana Material Medico
MASCARILLA KN95 NEGRA X 5 UND           ,21.93,Gracitana Material Medico
"MONO CIRUJANO ""L"" 40 GR (DEXX)          ",14.7,Gracitana Material Medico
"MONO CIRUJANO ""XL"" 40 GR (DEXX)         ",21.09,Gracitana Material Medico
MULETAS AJUSTABLES DE ALUMINIO T-M      ,205.25,Gracitana Material Medico
MULETAS AJUSTABLES DE ALUMINIO T-S      ,205.25,Gracitana Material Medico
OBTURADOR AMARILLO (PLUSMEDIC)          ,0.7,Gracitana Material Medico
PAPEL BOBINA 5 KG MARRON 60 CM          ,329.28,Gracitana Material Medico
PAPEL PARA CAMILLA 18 ¨ X 15 MTS        ,28.41,Gracitana Material Medico
"PHARMAPORE 5 X 5,7 CM X UND (GENIACARE  ",2.07,Gracitana Material Medico
PHARMAPORE 7 CM X 9 CM (GENIA CARE)     ,3.01,Gracitana Material Medico
PLACA DE PETRI EN MANGA X 20UND (DEXX)  ,40.46,Gracitana Material Medico
RECOLECTOR DE HECES (DEXX)              ,0.63,Gracitana Material Medico
RECOLECTOR DE ORINA PEDIATRICO          ,1.38,Gracitana Material Medico
REGULADOR DE FLUJO DE PRECISION         ,8.81,Gracitana Material Medico
SCALP Nº19G X 3/4                       ,0.25,Gracitana Material Medico
SOL CLORURO DE SODIO 0.9% X 100ML BEHREN,21.87,Gracitana Material Medico
SOLUCION CLOR DE POTASIO 7.5% X 100 ML B,40.63,Gracitana Material Medico
SOLUCION CLOR DE SODIO 20% X 100 ML BEHR,24.38,Gracitana Material Medico
SOLUCION FISIO N16 0.9% X 500 ML (BEHREN,24.08,Gracitana Material Medico
SONDA ALIMENTACION #10 DYNAMICS         ,4.8,Gracitana Material Medico
SONDA NELATON # 10 (BRIUTCARE)          ,3,Gracitana Material Medico
SONDA NELATON # 18 (BRIUTCARE)          ,3,Gracitana Material Medico
SONDA NELATON #20 (BRIUTCARE)           ,3,Gracitana Material Medico
SONDA NELATON #22 (BRIUTCARE)           ,3,Gracitana Material Medico
SONDA NELATON #24 (BRIUTCARE)           ,3,Gracitana Material Medico
TERMOMETRO ORAL CLINICAL (HB)           ,27.6,Gracitana Material Medico
TRIFLO EJECUTAR 1 PIEZA PLUSMEDIC       ,53.86,Gracitana Material Medico
VENDA ELASTICA DE COLORES  5 CM         ,3.68,Gracitana Material Medico
VENDA ELASTICA DE COLORES 7 CM          ,5.01,Gracitana Material Medico
VENDA ELASTICA DE COLORES 8 CM          ,6.24,Gracitana Material Medico
VENDA ELASTICA SUPER VENDA 4 CM         ,3.03,Gracitana Material Medico
VENDA ELASTICA SUPER VENDA 5 CM         ,3.03,Gracitana Material Medico
VENDA ELASTICA SUPER VENDA 6 CM         ,3.68,Gracitana Material Medico
VENDA ELASTICA SUPER VENDA 7 CM         ,4.13,Gracitana Material Medico
YODO BIOKILLIODO X 120 ML               ,16.82,Gracitana Material Medico
YODUNI (SOLUCION YODADA) X 120 ML UNIPHA,13.82,Gracitana Material Medico
ZUVISS ADHESIVO COLOR PIEL 1.25 CM      ,12.87,Gracitana Material Medico
ZUVISS ADHESIVO COLOR PIEL 2.5 CM       ,18.74,Gracitana Material Medico
ZUVISS ADHESIVO DE TELA 1.25CMX9.1M     ,15.04,Gracitana Material Medico
ZUVISS ADHESIVO DE TELA 2.5CMX9.1M      ,21.15,Gracitana Material Medico
ZUVISS ADHESIVO DE TELA 5CMX9.1M        ,34.4,Gracitana Material Medico
ZUVISS ADHESIVO TRANSP 1.25 CM X 9 MM   ,11.71,Gracitana Material Medico
ZUVISS ADHESIVO TRANSP 2.5 CM X 9.1 MM  ,15.94,Gracitana Material Medico
ZUVISS ADHESIVO TRANSP 5 CM X 9.1 MM    ,24.34,Gracitana Material Medico
ZUVISS CURITAS MIXTAS 20 UND            ,10.32,Gracitana Material Medico
ZUVISS CURITAS X 20 UND                 ,10.32,Gracitana Material Medico
,,Gracitana Material Medico
