Descripción del Artículo,Precio Mayoreo,Proveedor
ALCOHOLANTISÉPTICO AL 70% X 1000ML EL GUARDIAN,32.25,Insuaminca
ALCOHOLANTISÉPTICO AL 70% X 120 ML  EL GUARDIAN,5.52,Insuaminca
ALCOHOLANTISÉPTICO AL 70% X 240 ML EL GUARDIAN,9.76,Insuaminca
"ALCOHOLANTISÉPTICO AL 70% X 3,785ML EL GUARDIAN",112.88,Insuaminca
ALDER GEL LIMPIADOR PIEL SENSIBLE 223 ML VITA,52.18,Insuaminca
ALENDRONATO SODICO 70MG X 4 TAB CAMBRIDGE,16.97,Insuaminca
ALENDROWISE ALENDRONATO SODICO 70MG X 4TAB CAJA X 20 BLISTE MEDICAMENTOS ASIA,509.22,Insuaminca
"ALERGOT 0,05% 5ML SOL OFTALMICA OFTALMI",44.98,Insuaminca
"ALFADYN 0,20% SOL OFTALMICA 5ML (BRIMONIDINA TARTRATO) OFTALMI",49.99,Insuaminca
ALGIOL 5MG X 10 COMPR (BISOPROLOL) DOLLDER,16.55,Insuaminca
ALGODON 500 GR MC MEDICAL,41.35,Insuaminca
ALGODON ABSORBENTE 100% X 250 GR ALVE,113.22,Insuaminca
ALGODON ABSORBENTE 100% X10 GR ALVE,6.89,Insuaminca
ALGODON ABSORBENTE 100% X100 GR ALVE,59.07,Insuaminca
ALGODON HIDROFILICO  X 100 GR ALGOBAP,22.84,Insuaminca
ALGODON HIDROFILICO  X 25 GR ALGOBAP,8.66,Insuaminca
ALGODON HIDROFILICO  X 50 GR ALGOBAP,13.19,Insuaminca
ALGODÓN ZIGZAG X 20 PLIEGUES MIMADITO,12.31,Insuaminca
ALGOREN 10 MG X 20 TAB (PROPRANOLOL) RONAVA,17.4,Insuaminca
ALGOREN 40 MG X 20 TAB (PROPRANOLOL) RONAVA,28.01,Insuaminca
"ALILUB 1,4% SOL OFT X 15ML (ALCOHOL POLIVINILICO) PHARMETIQUE",19.1,Insuaminca
ALIPAL FORTE DIA Y NOCHE X 6 CAP (ACETAMINOFEN -CLORFENIRAMINA -CAFEINA) BIOTECH,19.94,Insuaminca
ALIVAX FORTE 650MG DISPENSADOR 25 BLISTER X 5 CAP BLANDAS VIVAX,171.01,Insuaminca
ALIVAX FORTE 650MG X 10 CAP BLANDAS (ACETAMINOFEN) VIVAX,15.96,Insuaminca
ALIVERIUM X 10 CAP (PINAVERIO 100MG + SIMETICONA 300MG) VINCENTI,42.01,Insuaminca
ALIVIAMED 25 G LYA GEL ROLLON   LYA,20.45,Insuaminca
ALIVIAMED ATOMIZADOR X 60ML LYA,30.98,Insuaminca
ALLERFEX  120 MG X 10 TAB (FEXOFENADINA) PHARMETIQUE,28.6,Insuaminca
ALLOPURINOL 100MG X 30 TAB KIPHAR,21.39,Insuaminca
ALNEX INY 2.5G/ 5ML X  AMP. PISA (METAMIZOL SODICO),8.06,Insuaminca
ALOPURINOL 100 MG X 10 TAB CAJA X 10 BLISTER JMW,59.41,Insuaminca
ALOPURINOL 100MG X 30 TAB ANGELUS,20.37,Insuaminca
ALOPURINOL 100MG X 30 TAB NIO PHARMACEUTICAL,16.97,Insuaminca
ALOPURINOL 300MG X 10 TAB UNICURE,14.43,Insuaminca
ALOPURINOL 300MG X 30 TAB NIO PHARMACEUTICAL,40.74,Insuaminca
ALPRAM 0.5MG X 30 TAB (ALPRAZOLAM) VALMORCA,24.19,Insuaminca
ALPRAM 1MG X 30 TAB (ALPRAZOLAM) VALMORCA,34.54,Insuaminca
ALPRAM 2 MG X 30 TAB (ALPRAZOLAM) VALMORCA,47.19,Insuaminca
ALPRAMACK 1MG X 30 TAB (ALPRAZOLAM) MCK,25.29,Insuaminca
ALPRAZOLAM 0.5MG X 30 TAB CALOX,15.28,Insuaminca
ALPRAZOLAM 1MG X 30 TAB CALOX,22.07,Insuaminca
ALRES 500MG/30MG/2MG X 10TAB ELMOR,19.94,Insuaminca
ALRES FORTE POLVO P/ SOLUCION ORAL 3GR X 6 SOBRES ELMOR,40.31,Insuaminca
ALSART 80MG X 10 CAP (VALSARTAN) SIEGFRIED,17.4,Insuaminca
ALUMBRE EN PIEDRA SOBRE X 10GR FARMAX,3.82,Insuaminca
ALUMBRE EN PIEDRA X 25 GRS CAJ X 12 SOBRE RECETTE MARK,173.66,Insuaminca
ALURON 100MG X 30 TAB (ALLOPURINOL) RONAVA,33.44,Insuaminca
AMBROXOL + LORATADINA 30MG-5MG/5ML X 120ML SAGA,30.55,Insuaminca
AMBROXOL 15 MG/5ML JARABE X 120 ML SAGA,16.97,Insuaminca
AMBROXOL 15MG / 5ML x 120ML COLMED,28.43,Insuaminca
AMBROXOL 15MG/5ML X 120 ML PEDIATRICO KIMICEG,17.82,Insuaminca
AMBROXOL 30MG/5ML JBE X 120ML LA SANTE,30.98,Insuaminca
AMBROXOL 30MG/5ML X 120 ML ADULTO KIMICEG,18.42,Insuaminca
AMBROXOL HCL 75 MG X 10 TAB LIBERACION SOSTENIDA CAMBRIDGE,20.79,Insuaminca
AMBROXOL JBE 15MG/5ML 120ML PEDIATRICO BIOQUIMICA,16.97,Insuaminca
AMBROXOL JBE 15MG/5ML X 120ML S&G,18.67,Insuaminca
AMBROXOL JBE 30MG/5ML 120ML ADULTO BIOQUIMICA,17.82,Insuaminca
AMBROXOL+LORATADINA 30MG-5MG / 5ML X 120ML BIOQUIMICA,21.64,Insuaminca
AMBROXOL+LORATADINA 30MG-5MG / 5ML X 60ML BIOQUIMICA,14.85,Insuaminca
AMCORT JBE 15MG/5ML X 60ML (PREDNISOLONA) FARQUI,42.44,Insuaminca
AMFOTERICINA B POLVO X 1 AMP I.V. VITALIS,204.54,Insuaminca
AMIKACINA 100MG/2ML I.M/I.V AMP BIOSANO,6.37,Insuaminca
AMIKACINA 100MG/2ML I.M/I.V CAJA X 10 AMP KMPLUS,59.41,Insuaminca
AMIKACINA AMP 500MG/2ML I.M/I.V VITALIS,9.34,Insuaminca
AMIKACIS AMIKACINA 5% CREMA  X 20 G  BOOZ,17.57,Insuaminca
AMINOFILINA 250MG/10ML AMP I.V BIOSANO,13.58,Insuaminca
AMINOFILINA AMP 25MG/1ML X 10ML BRIXMEDIC,9.76,Insuaminca
AMIODARONA 200MG X 10 TAB CAJA X 10 BLISTER JMW,292.8,Insuaminca
AMIODARONA 200MG X 10 TAB CAJA X 10 BLISTER LAND,284.31,Insuaminca
AMIODARONA CLORHIDRATO 200MG X 10 TAB GENCER,44.81,Insuaminca
AMIPER 10MG X 30TAB (AMLODIPINE) PHARMA COLINA,11.88,Insuaminca
