Descripción del Artículo,Precio Mayoreo,Proveedor,FE,FS,AHORRO
SABILINAZ X 70 CAPSULAS,136.82,Drolanca,0,0,0
SAW PALMETTO X 70 CAPSULAS,198.65,Drolanca,0,0,0
TINTURA DE VALERIANA 30 ML,56.47,Drolanca,0,0,0
TOTUMALT X 70 CAPSULAS,87.53,Drolanca,0,0,0
TOTUMO JARABE X 120 ML,66.62,Drolanca,0,0,0
VITAMINA E & SELENIO X 60 CAPSULAS,237.17,Drolanca,0,0,0
CASTAÑO DE INDIAS X 70 CAPSULAS,161.01,Drolanca,0,0,0
CLORURO DE MAGNESIO 30 GR,57.36,Drolanca,0,0,0
MAGNESIO OXIDO DE MAGNESIO X 70 CAPSULAS,137.42,Drolanca,0,0,0
SABILINAZ X 10 CAPSULAS,32.57,Drolanca,0,0,0
CITRATO DE POTASIO SOLUCIÓN 500 ml,132.64,Drolanca,0,0,0
ECHINACEA X 60 CAPSULAS,135.92,Drolanca,0,0,0
BIOFENAP 75MG/3ML (DICLOF POT) X 10 AMP,227.9,Drolanca,0,0,0
BIOFENIT 250MG/5ML FENITOINA SOD X 10AMP,143.62,Drolanca,0,0,0
BIOSETRON 8MG/4ML (ONDASETRON) X 10AMP,51.99,Drolanca,0,0,0
"BIOSTIGMIN 0,5MG/1ML NEOSTIGMINA X 10AMP",63.38,Drolanca,0,0,0
BIOTRANEX 500MG/5ML ACIDOTRANEXAM X 10AM,178.04,Drolanca,0,0,0
BIOVIT C 500MG/5ML ACIDO ASCORBI X 10AMP,94.95,Drolanca,0,0,0
ENTAGLASS 160MG/2ML GENTAMICINA X 10AMP,72.64,Drolanca,0,0,0
METILPREDNISOLONA 500MG 1 VIAL POLVO,122.01,Drolanca,0,0,0
BIOCAIN HIPERBARA AL 5% X 2ML X 10 AMP,236.91,Drolanca,0,0,0
BIOCEFT  1 G VIAL (CEFTRIAXONA),14.0,Drolanca,0,0,0
CAPTOZ (CAPTOPRIL) 50 MG X 30 CAP,67.53,Drolanca,0,0,0
CITICOLINA 500 MG X 30 TABLETAS REC,464.94,Drolanca,0,0,0
LEVOT (LEVOTIROXIN) 100 MG X 100 TAB,133.77,Drolanca,0,0,0
METGLUTAN 500 MG X 30 TABLETAS,54.55,Drolanca,0,0,0
OGASTAN (OMEPRAZOL) 20 MG X 30 CAP,76.62,Drolanca,0,0,0
GAPTAN 300 MG X 30 CAPSULAS,98.7,Drolanca,0,0,0
PREGATAN 75 MG X 30 CAPSULAS,133.77,Drolanca,0,0,0
CIPROTAN (CIPROFLOXACINA) 500MG X 20 TAB,75.32,Drolanca,0,0,0
CLORACE 125-0.5 MG SIN AZUCAR X 120 ML,77.27,Drolanca,0,0,0
IPALAT SOL X 20 ML,105.73,Drolanca,0,0,0
MIOVIT 3 ML KIT X 3 AMP,88.91,Drolanca,0,0,0
MIOVIT X 10 GRAG,49.18,Drolanca,0,0,0
"AIRFEN PED 0,025% 15 ML GOT",92.95,Drolanca,0,0,0
MIOVIT 3 ML KIT X 1 AMP,53.65,Drolanca,0,0,0
IPALAT CREMA X 20 GR,133.83,Drolanca,0,0,0
CLORACE X 10 CAP,79.27,Drolanca,0,0,0
REDUBEN 100 MG X 10 TAB,53.82,Drolanca,0,0,0
CELAY 10 MG X 10 TAB,24.62,Drolanca,0,0,0
MIOVIT X 30 GRA,97.22,Drolanca,0,0,0
KETOPROFENO 2ML X 1 AMP I.M COFASA,45.16,Drolanca,0,0,0
KETOPROFENO 100 MG X 10 TAB,45.52,Drolanca,0,0,0
BROMEXINA 4MG/5ML JARABE 100 ML PEDIATRI,49.66,Drolanca,0,0,0
"MUCOBROL, 4mg/5mL JARABE X 120 ML",154.78,Drolanca,0,0,0
EUSILEN 4 MG X 15 COMPDO,52.21,Drolanca,0,0,0
CLORACE X 20 TAB,131.48,Drolanca,0,0,0
MIOVIT X 180 ML JARABE,169.66,Drolanca,0,0,0
BREXIN FORTE 650 MG X 10 CAP,31.88,Drolanca,0,0,0
COFADOR (SOLUCION OFTALMICA X 5 ML),218.54,Drolanca,0,0,0
COFADOR T(SOLUCION OFTALMICA X 5 ML),154.22,Drolanca,0,0,0
KATIVIL 1G/10 ML SOL/ORAL S/AZUCA 120 ML,130.74,Drolanca,0,0,0
MIOVIT SIN AZUCAR X 90 ML JARABE,113.09,Drolanca,0,0,0
BREXIN GOTAS. 100 MG/ML CONTENIDO 15 ML,53.96,Drolanca,0,0,0
EUSILEN DUAL 600MG/4MG X 10 TAB,64.34,Drolanca,0,0,0
"AIRFEN AD 0,05% 15 ML GOT",92.95,Drolanca,0,0,0
EUSILEN 4 MG 2 ML KIT X 1 AMP,36.35,Drolanca,0,0,0
EUSILEN 4 MG X 8 COMPDO,28.14,Drolanca,0,0,0
EUSILEN 4 MG 2 ML KIT X 2 AMP,59.46,Drolanca,0,0,0
MIOVIT X 20 ML GOTAS,73.31,Drolanca,0,0,0
"BENCIDAMINA CLORHIDRATO 0,15% X 120 ML",80.56,Drolanca,0,0,0
ACETAMINOFEN 120 MG/5 ML X 120 ML JAR,48.69,Drolanca,0,0,0
CLORACE SOL ORAL GOTAS X 30 ML,97.4,Drolanca,0,0,0
MIOVIT 3 ML KIT X 6 AMP,156.55,Drolanca,0,0,0
KATIVIL 1G/10 ML SOL/ORAL S/AZUCA X 90ML,98.77,Drolanca,0,0,0
IBUN 400MG X 10 TAB (IBUPROFENO),31.65,Drolanca,0,0,0
AEROFLAT ORAL 20 ML GOTAS,111.3,Drolanca,0,0,0
CELAY 5 MG/5 ML JBE X 100 ML,48.73,Drolanca,0,0,0
CORATAB 81MG X 30TAB (ACIDO ACETILSALIC),40.98,Drolanca,0,0,0
COFASURE 80MG X 30 TAB (VALSARTAN),65.43,Drolanca,0,0,0
NUTRIFARM HAIR&NAIR PLUS CB X 30,166.22,Drolanca,0,0,0
CENTAB-BETA (VIT Y MIN X 30 TAB,124.29,Drolanca,0,0,0
GERIATECH (VIT Y MIN) X 30 CAP B,146.86,Drolanca,0,0,0
CITRATO DE CALCIO CON VIT D3 X 30 TAB,164.06,Drolanca,0,0,0
ACTIVITON EXTREME  X 30 CAPSULAS BLANDAS,148.18,Drolanca,0,0,0
PAPAYA  X 30 TABLETAS MASTICABLES,104.7,Drolanca,0,0,0
AMLODIPINO 5MG X 30 COMP. Kern Pharma,43.09,Drolanca,0,0,0
BISOPROLOL 5 MG X 60 COMP. EFG Kern Phar,143.44,Drolanca,0,0,0
BRONCEADOR TANGA CREMA SPF4 X 250 ML,151.36,Drolanca,0,0,0
BRONCEADOR TANGA LOCION SPF8 X 250ML,213.0,Drolanca,0,0,0
IBUPROFENO 400 MG X 30 COMP. Kern Pharma,55.64,Drolanca,0,0,0
OMEPRAZOL 20 MG X 28 CAPS Kern Pharma,62.73,Drolanca,0,0,0
PARACETAMOL 1 G X 20 COMPR. Kern Pharma,61.91,Drolanca,0,0,0
PILAS PHILIPS POWER AAA X 2,21.55,Drolanca,0,0,0
PILAS PHILIPS POWER D X 2,67.36,Drolanca,0,0,0
PREGABALINA 150 MG X 56 CAPS. Kern Pharm,290.73,Drolanca,0,0,0
PREGABALINA 75 MG X 56 CAPS. Kern Pharma,174.0,Drolanca,0,0,0
PROTECTORES DIARIOS LADY FREE X 40UNID,34.36,Drolanca,0,0,0
QUETIAPINA 25 MG X 60 COMP. Kern Pharma,202.34,Drolanca,0,0,0
PILAS PHILIPS POWER AA X 2,21.55,Drolanca,0,0,0
ATORVASTATINA 20 MG X 28 COMP Kern Pharm,148.08,Drolanca,0,0,0
ACIBATH X 120G,105.76,Drolanca,0,0,0
ACIDO FOLICO 10 MG X 10 TAB DALIOL,18.08,Drolanca,0,0,0
ACIDO FOLICO 10 MG X 30 TAB (DALIOL),39.43,Drolanca,0,0,0
APLACAL 750 MG TAB X 10 MAST MANDARINA,50.96,Drolanca,0,0,0
APLACAL 750 MG X 10 TAB MAST FRAMBUESA,50.96,Drolanca,0,0,0
ARTRITES 75MG / 3ML SOL INY / 5 AMPOLLAS,233.01,Drolanca,0,0,0
ASCAFYL ADULTO X 10 GRA (CET.CLORF.CAF),31.4,Drolanca,0,0,0
ASCAFYL PLUS X 10 TAB,35.9,Drolanca,0,0,0
ASCAFYL-SC X 15 ML GOT,33.65,Drolanca,0,0,0
BENDAMEN 100 MG X 6 TAB,34.53,Drolanca,0,0,0
BENZODIAZOL TUTTI-FRUTTI X 16  (MEYER),46.35,Drolanca,0,0,0
"BICOL 160 / 12,5 MG COMP X 14 TABLETAS",92.27,Drolanca,0,0,0
"BICOL 80 / 12,5 MG COMP X 14 TABLETAS",54.32,Drolanca,0,0,0
BROLAT 5 MG/30MG X 10 TAB (MEYER),49.88,Drolanca,0,0,0
CETRAL 10 MG X 10 TAB,26.92,Drolanca,0,0,0
CIATAL 500MG /2ML SOL/INYECTABLE X 9 AMP,204.86,Drolanca,0,0,0
CORBIS 10 MG X 30 COMPRIMIDOS,75.31,Drolanca,0,0,0
CORBIS 5 MG X 30 COMPRIMIDOS,73.0,Drolanca,0,0,0
DIFEN PLUS X 20  TAB,67.77,Drolanca,0,0,0
EQUALIV X 30 TAB (MEYER),81.91,Drolanca,0,0,0
ESPIRONOLACTONA  100 MG X 10 TAB,90.36,Drolanca,0,0,0
ESPIRONOLACTONA  25 MG X 20 TAB,58.87,Drolanca,0,0,0
"EXANIA 0,05% EMULSIÓN FRASCO X 60 ML",108.62,Drolanca,0,0,0
FUROSEMIDA 20 MG X 12 TAB,34.74,Drolanca,0,0,0
FUROSEMIDA 40 MG X 24 TAB DALIOL,45.44,Drolanca,0,0,0
HEPAFOL B-12 X 30 TAB REC,80.71,Drolanca,0,0,0
IBUTAN 400 MG X 10 TAB,26.7,Drolanca,0,0,0
IBUTAN 600 MG X 10 TAB,42.05,Drolanca,0,0,0
IBUTANFEM 400MG-20MG TAB REC X 30,98.09,Drolanca,0,0,0
IMAZOL 1%  20 GR POL,19.5,Drolanca,0,0,0
IMAZOL 100MG  X 6 TABLETAS VAGINALES,54.27,Drolanca,0,0,0
KAPET 75 MG X 14 TAB,47.86,Drolanca,0,0,0
"LIBERDUX 2,5MG/5ML SOLUCIÓN ORAL 60ML",45.1,Drolanca,0,0,0
LOFLOX 400 MG X 10 TAB,22.34,Drolanca,0,0,0
LOFLOX 400 MG X 5 TAB,14.36,Drolanca,0,0,0
NONAFOL 10 MG TABS X 30,43.71,Drolanca,0,0,0
NONAFOL 10MG X 10 TABLETAS,19.43,Drolanca,0,0,0
NONAFOL 5 MG TABS X 10,17.82,Drolanca,0,0,0
NORTRICOL 200MG X 10 TAB,84.66,Drolanca,0,0,0
NORTRICOL 200MG X 20 TAB,127.0,Drolanca,0,0,0
OSTEACAL 600MG TABLETAS X 30           ,51.81,Drolanca,0,0,0
PARKEN 25MG/250MG X 30 TABLETAS,196.96,Drolanca,0,0,0
PASOLAX POLVO PARA SOLUCION ORAL 100GR,76.87,Drolanca,0,0,0
"PROLASTAT  0,5 X 4 TAB",188.51,Drolanca,0,0,0
"PROLASTAT  0,5 X 8 TAB",284.04,Drolanca,0,0,0
SEDIVAL X 30 TAB,80.1,Drolanca,0,0,0
SILDENAFIL 50 MG TAB REC X 4,38.74,Drolanca,0,0,0
SILDENAFIL 50 MG X 2 TAB (DALIOL),23.97,Drolanca,0,0,0
VASTAN 40 MG X 10 TAB,46.52,Drolanca,0,0,0
CAMPAL 50 MG X 20 GRA (DiclofenacSodico),31.43,Drolanca,0,0,0
DIFEN X 10TAB (Acetam. Caf.Dihidroergot),37.17,Drolanca,0,0,0
SIGTIPHIN 200 MG X 20 COMP (MEYER),86.32,Drolanca,0,0,0
SIGTIPHIN 200 MG X 10 COMP (MEYER),56.4,Drolanca,0,0,0
NOXPIRIN GOTAS 15 ML,29.91,Drolanca,0,0,0
ARBIXIL JARABE 15MG/5ML X 120ML ADULTO,72.57,Drolanca,0,0,0
BELOC 100 MG X 10 TAB ATENOLOL,43.16,Drolanca,0,0,0
"CALMOX 7,5 MG X 10 TAB",36.75,Drolanca,0,0,0
LIPONTAL 900 MG X 10 TAB,59.47,Drolanca,0,0,0
METREN 500 MG X 10 CAPSULAS VAGINALES,59.73,Drolanca,0,0,0
BENZODIAZOL MENTA  X 16  (MEYER),46.35,Drolanca,0,0,0
BENZODIAZOL LIMON  X 16 TAB (MEYER),46.35,Drolanca,0,0,0
ACIDO FOLICO 5 MG X 10 TAB,16.43,Drolanca,0,0,0
IBUTANFEM 400MG-20MG TAB REC X 20,70.62,Drolanca,0,0,0
ACIDO FOLICO 10 MG X 20 TAB (DALIOL),17.24,Drolanca,0,0,0
CYPRAL 750 MG X 6 CAP,34.38,Drolanca,0,0,0
ARBIXIL 15 ML GOTAS,35.66,Drolanca,0,0,0
PERTEN 20 G CREMA,56.1,Drolanca,0,0,0
IBUTAN 400 MG X 20 TAB,36.39,Drolanca,0,0,0
IBUTANCOL 600 MG/4 MG X 20 TAB,142.45,Drolanca,0,0,0
MICONAX 15%-4% CREMA VAGINAL X 40 G    ,97.09,Drolanca,0,0,0
"CORBIS 2,5 MG X 30 COMPRIMIDOS",52.47,Drolanca,0,0,0
"NOXPIRIN 325MG-0,5MG/5ML SOL 120ML",81.44,Drolanca,0,0,0
PERTEN 1% SOL TOPICA X 30 ML,79.86,Drolanca,0,0,0
BENUCOMPLEX B12X 10 ML VIAL POLVO I.V,22.31,Drolanca,0,0,0
BIODEXA 8MG/2ML AMP IV (DEXAMETASONA),54.6,Drolanca,0,0,0
BIOSEMID 20MG/2ML AMP IV (FUROSEMIDA),43.21,Drolanca,0,0,0
BIOVIT K1 10MG/1ML AMP(FITOMENADIONA VIT,85.45,Drolanca,0,0,0
BUPIGLASSHIPERBARA15MG+240MG/3ML 5%ESPIN,344.21,Drolanca,0,0,0
TRISULGLASS 80MG+400MG/5ML AMP IV,320.47,Drolanca,0,0,0
"TAMSUPROS (TAMSULOSINA) 0,4MG X 30 CAP",124.68,Drolanca,0,0,0
"DUTAPROS (DUTASTERIDE) 0,5MG X 30 CAP",259.74,Drolanca,0,0,0
CLAVUTAN (AMOX+ACID)875MG/125MG X 10TAB,224.68,Drolanca,0,0,0
BETAHISTINA 16 MG X 30 TAB,150.65,Drolanca,0,0,0
DAGLITAN DAPAGLIF+METFOR 5-500 MGX 30TAB,292.21,Drolanca,0,0,0
"TAMDURIDE TAMSULN+DUSTATR0,4-0,5MGX30CAP",420.78,Drolanca,0,0,0
CELAY 10 MG X 15 ML,78.69,Drolanca,0,0,0
COFATODEX (SOLUCION OFTALMICA X 5 ML),65.98,Drolanca,0,0,0
ETERNAL GLUCOSAMINA + CHONDROITIN X 90C,141.75,Drolanca,0,0,0
BETAHISTINA 8 MG 60 COMP NORMON,166.91,Drolanca,0,0,0
PRESERVATIVOS M-ZONE HOT X 4,24.27,Drolanca,0,0,0
PRESERVATIVOS M-ZONE ULTRA SENSIBLE X 4,24.27,Drolanca,0,0,0
PRESERVATIVOS M-ZONE SABORES X 4,24.27,Drolanca,0,0,0
PRESERVATIVOS M-ZONE TEXTURIZADO X 4,24.27,Drolanca,0,0,0
PRESERVATIVOS M-ZONE ACANALADO X 4,24.27,Drolanca,0,0,0
PRESERVATIVOS M-ZONE ANATOMICO X 4 (XL),24.27,Drolanca,0,0,0
PROTECTORES DIARIOS LADY FREE X 20 UNID,17.18,Drolanca,0,0,0
TILODRIN 120 ML JAR,57.1,Drolanca,0,0,0
MESPEN 500MG AMP X 1 IV MEROPENEM,64.9,Drolanca,0,0,0
HIDROCORTISONA 500MG AMP X 1 IM/IV,78.97,Drolanca,0,0,0
ACETAMINOFEN 180MG/5ML JARABE PED. 120ML,35.99,Drolanca,0,0,0
ACETAMINOFEN 500MG X 20 TAB,20.73,Drolanca,0,0,0
AMLODIPINA 10MG X 30TAB,30.78,Drolanca,0,0,0
"AMTACILYN 1,5G AMP X1 IV/IM (AMPIC+SULB)",21.96,Drolanca,0,0,0
ATORVASTATINA 20MG X 30TAB ALESS PHARMAC,62.1,Drolanca,0,0,0
ATORVASTATINA 40 MG TABLETAS X 30,80.06,Drolanca,0,0,0
AZITROMICINA 500MG X 5 TAB,54.71,Drolanca,0,0,0
"BISOPROLOL FUMARATO 2,5MG X 30 TAB",61.26,Drolanca,0,0,0
BISOPROLOL FUMARATO 5MG X 30 TAB,75.25,Drolanca,0,0,0
"BISOPROLOL+HIDROCL. 2,5MG/6,25MG 15 TABL",38.05,Drolanca,0,0,0
"BISOPROLOL+HIDROCL. 5MG/6,25MG X 15 TABL",47.56,Drolanca,0,0,0
CARBAMAZEPINA 200MG X 30 TAB,61.12,Drolanca,0,0,0
"CARVEDILOL 6,25MG X 30 TAB",58.09,Drolanca,0,0,0
CLINDAMICINA 150MG/4ML X 10 AMP,379.87,Drolanca,0,0,0
CLINDAMICINA 150MG/ML 4 ML IV/IM AMP X 5,199.94,Drolanca,0,0,0
CLOPIDOGREL 75MG X 30 TAB,81.18,Drolanca,0,0,0
CLOTRIMAZOL 200MG X 3 OVULOS,37.62,Drolanca,0,0,0
CLOTRIMAZOL 500MG X 1 OVULOS,34.66,Drolanca,0,0,0
CYTRIAX 1G AMP X 1 IV/IM CEFTRIAXONA,21.54,Drolanca,0,0,0
DICLOFENAC SOD. 100MG SUPOSIT X 10,65.21,Drolanca,0,0,0
DICLOFENAC SOD. 50MG X 20 TAB,15.62,Drolanca,0,0,0
DICLOFENAC SODICO 75MG/3ML IM/IV AMP X50,327.86,Drolanca,0,0,0
EFAZTAS 1G AMP X 1 IV/IM CEFAZOLINA SODI,24.81,Drolanca,0,0,0
HIDROCORTISONA 100MG AMP X 1 IM/IV,33.68,Drolanca,0,0,0
HIOSCINA BUTILBROMURO 20MG X 5 AMP,105.54,Drolanca,0,0,0
LEVOTIROXINA SODICA 100 MCG X 50 TAB,61.36,Drolanca,0,0,0
LEVOTIROXINA SODICA 50MCG X 50 TAB,46.09,Drolanca,0,0,0
LIDOCAINA AL 2% SOL/INY 30ML AMP X 1,54.46,Drolanca,0,0,0
METFORMINA 500MG X 30 TAB,34.02,Drolanca,0,0,0
METRONID+MICONAZOL750MG/200MG X7OVUL,106.7,Drolanca,0,0,0
METRONIDAZOL 500 MG OVULOS X 10,57.46,Drolanca,0,0,0
MICONAZOL NITRATO 400MG OVULOS X 3,54.38,Drolanca,0,0,0
OLMESARTAN 20MG X 30 TAB,69.53,Drolanca,0,0,0
OMEFLUX 40 MG AMP X 1 IV OMEPRAZOL,25.98,Drolanca,0,0,0
PANTOPRAZOL 40MG TABLETAS X 7,23.26,Drolanca,0,0,0
PENASTIM 500MG-500MG AMP X 1 IV,194.76,Drolanca,0,0,0
TAMSULOSINA 0.4MG X 30 CAPS,89.22,Drolanca,0,0,0
"TAZILIM 4G/0,5G AMP X 1 IV",120.21,Drolanca,0,0,0
TIOCOLCHICOSIDO 4MG/2ML IM AMP X 50,902.44,Drolanca,0,0,0
TIOCOLCHICOSIDO.4MG/2ML IM. 2 AMP,58.54,Drolanca,0,0,0
VANCINA 500MG AMP X 1 IV VANCOMICINA,36.3,Drolanca,0,0,0
XANEXTRA 500MG/5ML AMP X 1 ACIDO TRANEXA,25.31,Drolanca,0,0,0
XANEXTRA 500MG/5ML AMP X 5 ACIDO TRANEXA,121.98,Drolanca,0,0,0
DICLOFENAC POT. 50MG X 20 TAB,18.13,Drolanca,0,0,0
OMEFLUX 20MG X 10 CAPSULAS (OMEPRAZOL),21.33,Drolanca,0,0,0
MESPEN 1G AMP X 1 IV MEROPENEM,136.34,Drolanca,0,0,0
AMLODIPINA 5 MG X 30TAB,28.32,Drolanca,0,0,0
DICLOFENAC SOD. 75 MG/3ML IM 2 AMP,17.77,Drolanca,0,0,0
LOSARTAN POTASICO 50MG X 30 TAB,35.42,Drolanca,0,0,0
CEXTACIM 1G AMP X 1 IV/IM CEFOTAXIMA,19.69,Drolanca,0,0,0
CIPROFLOXACINA 500MG X 6 TAB,19.73,Drolanca,0,0,0
"AZITROMICINA SUSP 200MG/5ML X 22,5ML",59.84,Drolanca,0,0,0
HIDROCORTISONA 500MG AMP X 10 IM/IV,750.65,Drolanca,0,0,0
METRONIDAZOL 500 MG TABLETAS X 10,23.1,Drolanca,0,0,0
CEFADROXILO 500 MG X 12 CAPSULAS,79.0,Drolanca,0,0,0
DICLOFENAC SOD. 50MG SUPOSIT X 10,40.13,Drolanca,0,0,0
VITAMINA D3 5000 IU X 30 CAP,64.16,Drolanca,0,0,0
SABE MIEL KIDS JARABE X 120ML,65.71,Drolanca,0,0,0
ALIPAL FORTE DIA / NOCHE  4 + 2 CAP,36.36,Drolanca,0,0,0
AMIODARONA HCL 200 MG X 10 TAB,77.92,Drolanca,0,0,0
"AZUTAN 0,15 % COLUTORIO 180 ML",44.16,Drolanca,0,0,0
BEPRODERM 15 G CREMA,42.86,Drolanca,0,0,0
BEPROSPEN 7MG/ML X 1 AMP KIT,105.19,Drolanca,0,0,0
"BETADERM 0,05% 15 G CREMA",48.05,Drolanca,0,0,0
BETADERM C/GENTAMICINA 15 G CRE,49.09,Drolanca,0,0,0
BETADERM PLUS 15 G CREMA,61.69,Drolanca,0,0,0
BETAGEN SOLSPEN 1 ML AMP,53.9,Drolanca,0,0,0
BRAL 500 MG X 100 TAB,259.74,Drolanca,0,0,0
CARBONATO DE LITIO 300MG X 20 CAP (RX),103.9,Drolanca,0,0,0
DIAGESIC 75 MG X 2 AMP,57.14,Drolanca,0,0,0
"ERILON 0,05 % X 15 G CREMA",51.3,Drolanca,0,0,0
FLENOX 15 MG/5 ML PED X 120 ML JAR,46.75,Drolanca,0,0,0
FLENOX 30 MG / 5 ML X 120 ML,50.0,Drolanca,0,0,0
FLUOXETINA 20 MG X 14 CAP (RX,38.96,Drolanca,0,0,0
"GINACOL 0,1% 135 ML SOL VAGINAL",49.35,Drolanca,0,0,0
"ISOSPRAY PLUS 0,15%-025% 180 ML",61.69,Drolanca,0,0,0
IVAGAN FORTE 650 MG X 10 TAB,34.42,Drolanca,0,0,0
IVAGAN X 10 GRAG,32.47,Drolanca,0,0,0
LESTECOL 40 MG X 30 TAB,116.88,Drolanca,0,0,0
