Comercial Belloso,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
59,AFRIN SOL PED X 15 ML               ,,41,"BAYER, S.A.                        ",7591099103008,0.01,0,0,0,,,,,,,,,,,,,
87,ALDOMET TAB 250 MG X 30             ,,183,"ASPEN VENEZUELA, C.A.              ",6001390125537,0.01,0,0,0,,,,,,,,,,,,,
21418,ACEITE D/HIGADO D/BACAL EMU 180 ML B,NO APLICA,906,"LABORATORIO BIOFARCO, C.A.         ",7591616001930,41.18,70,-,0,,,,,,,,,,,,,
16873,ACEITE RICINO X 30 ML RECETT        ,ACEITE DE RICINO,1001,"LABORATORIO RECETTEMARK, C.A.      ",7594001450153,21.65,311,-,0,,,,,,,,,,,,,
108,ALKA SELTZER TAB X 12               ,,41,"BAYER, S.A.                        ",7702123822479,0.01,0,0,0,,,,,,,,,,,,,
90118,ACETAB TAB 250 MG X 20              ,ACETAZOLAMIDA,508,"LABORATORIOS L.O. OFTALMI, C.A.    ",7591196004802,61.12,397,-,30,,,,,,,,,,,,,
99582,ACETAMINO/TRAMA TAB 325/37.5 MG X 10,ACETAMINOFEN/TRAMADOL,483,"CALOX INTERNATIONAL, C.A.          ",7591519008494,27.15,612,-,0,,,,,,,,,,,,,
23925,ACETAMINOFEN CLORF/MAL JBE 125MG/1MG,ACETAMINOFEN/CLORFENIRAMINA,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000851234,18.38,563,-,25,,,,,,,,,,,,,
147,COBALFER TAB X 60                   ,,512,"BIOTECH LABORATORIOS, C.A.         ",7591243809732,0.01,0,0,0,,,,,,,,,,,,,
149,VIT E C/SELENIO CAP X 60 NATURISSIMA,,736,"BIOTECH LABORATORIOS, C.A.         ",7591241855700,0.01,0,0,0,,,,,,,,,,,,,
152,AMOXICILINA CAP 500 MG X 6   CALOX  ,,478,"CALOX INTERNATIONAL, C.A.          ",7591519000191,0.01,0,0,0,,,,,,,,,,,,,
155,AMOXICILINA SUS 250 MG X 45 ML  CALO,,478,"CALOX INTERNATIONAL, C.A.          ",7591519000214,0.01,0,0,0,,,,,,,,,,,,,
163,AZITROMICINA PVO 200 MG X 15 ML CALO,,924,"CALOX INTERNATIONAL, C.A.*REGULAD* ",7591519002249,0.01,0,0,0,,,,,,,,,,,,,
164,"AZITROMICINA PVO 200 MG X 22,5ML CAL",,924,"CALOX INTERNATIONAL, C.A.*REGULAD* ",7591519002256,0.01,0,0,0,,,,,,,,,,,,,
172,IBUPROFEN TAB 400 MG X 10 R.X.      ,,512,"BIOTECH LABORATORIOS, C.A.         ",7591392824884,0.01,0,0,0,,,,,,,,,,,,,
176,AMPICILINA CAP 500 MG X 8 CALOX     ,,924,"CALOX INTERNATIONAL, C.A.*REGULAD* ",7591519000108,0.01,0,0,0,,,,,,,,,,,,,
179,AMPICILINA CAP 500 MG X 16   CALOX  ,,924,"CALOX INTERNATIONAL, C.A.*REGULAD* ",7591519000115,0.01,0,0,0,,,,,,,,,,,,,
183,AMPICILINA SUS 125 MG X 60 ML CALOX ,,478,"CALOX INTERNATIONAL, C.A.          ",7591519000160,0.01,0,0,0,,,,,,,,,,,,,
184,AMPICILINA SUS 250 MG X 60 ML CALOX ,,924,"CALOX INTERNATIONAL, C.A.*REGULAD* ",7591519000177,0.01,0,0,0,,,,,,,,,,,,,
21621,ACETAMINOFEN COM 650 MG X 10 BIOQ   ,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000851258,7.27,1064,-,25,,,,,,,,,,,,,
208,BRUGESIC PLUS PVO P/SOL SOB X10     ,,487,"LABORATORIOS ELMOR, S.A.           ",7591062013044,0.01,0,0,0,,,,,,,,,,,,,
212,ANANASE GRA X 12                    ,,550,"LABORATORIOS VARGAS, S.A.          ",7592349078077,0.01,0,0,0,,,,,,,,,,,,,
219,LOTRISONE CRM X 20 G                ,,952,"VENCO FARMACEUTICA,S.A.            ",7591099230407,0.01,0,0,0,,,,,,,,,,,,,
233,SEROPRAM COM 20 MG X 14             ,,180,"LUNDBECK DE VENEZUELA, C.A.        ",5702157106455,0.01,0,0,0,,,,,,,,,,,,,
235,LANZOPRAL ER CAP 15 MG X 28         ,,238,"MEGALABS VZL, C.A                  ",7730698000084,0.01,0,0,0,,,,,,,,,,,,,
237,CITRACAL TAB 950 MG X 30            ,,358,"GYNOPHARM DE VENEZUELA, C.A.       ",7592432006994,0.01,0,0,0,,,,,,,,,,,,,
243,GINKGO BILOBA CAP 40 MG X60 NATURISS,,736,"BIOTECH LABORATORIOS, C.A.         ",7591241820500,0.01,0,0,0,,,,,,,,,,,,,
246,RANITIDINA TAB 150 MG X 10 ELTER MOR,,928,"LABORATORIOS LA SANTE, C.A.* E.REG ",7703763040681,0.01,0,0,0,,,,,,,,,,,,,
253,BRODILIN JBE PED X 120 ML           ,CLENBUTEROL,922,"ZUOZ PHARMA,S.A.                   ",7592349896800,38.55,0,0,14,,,,,,,,,,,,,
21858,ACETAMINOFEN COM 650 MG X 10 GVN    ,ACETAMINOFEN,571,"LABORATORIOS LETI, S.A.V.          ",7591585279057,11.17,3775,0.32,25,,,,,,,,,,,,,
265,ASPIRINA ADU TAB 500 MG X 20        ,,116,"BAYER, S.A. *ASCENSIA*             ",7702123824053,0.01,0,0,0,,,,,,,,,,,,,
276,PRITOR TAB 80 MG X 14               ,,355,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",8021961007787,0.01,0,0,0,,,,,,,,,,,,,
277,ATAMEL GTA CHOCO CEREZA X 30 ML     ,,953,PFIZER VENEZUELA  S.A.             ,7591257000538,0.01,0,0,0,,,,,,,,,,,,,
286,UNIAKUM TAB X 12                    ,,727,"PRODUCTOS GACHE, S.A.              ",7592116000218,0.01,0,0,0,,,,,,,,,,,,,
292,ATIVAN TAB 2 MG X            30     ,,435,"LABORATORIOS WYETH, S.A.           ",7891045008051,0.01,0,0,0,,,,,,,,,,,,,
296,SUPRADYN TERAPEUTICO EFERV  X 10.   ,,41,"BAYER, S.A.                        ",7793640237440,0.01,0,0,0,,,,,,,,,,,,,
298,ALBENDAZOL SUS 400 MG X 10 ML KIMICE,,274,"LABORATORIOS KIMICEG , C.A.        ",75901899,0.01,0,0,0,,,,,,,,,,,,,
323,OMEPRAZOL CAP 20 MG X 28  GC        ,,927,"GENERICO DE CALIDAD GC,C.A.        ",7591136000130,0.01,0,0,0,,,,,,,,,,,,,
22403,ACETAMINOFEN COM 650 MG X 20 BIOQ   ,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000851265,13.53,450,-,25,,,,,,,,,,,,,
15591,ACETAMINOFEN COM 650 MG X 30 GNV    ,ACETAMINOFEN,571,"LABORATORIOS LETI, S.A.V.          ",7591585179050,30.01,1365,0.3,25,,,,,,,,,,,,,
342,BACTRIMEL COM X 20                  ,,742,"PRODUCTOS ROCHE, S.A.              ",7896226501895,0.01,0,0,0,,,,,,,,,,,,,
22931,ACETAMINOFEN COMP 500 MG X 10 GNV   ,ACETAMINOFEN,571,"LABORATORIOS LETI, S.A.V.          ",7591585376657,8,2922,0.04,25,,,,,,,,,,,,,
23926,ACETAMINOFEN COMP 750 MG X 10 BIOQ  ,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000851289,9.44,190,-,25,,,,,,,,,,,,,
349,MEGAVITON  CAP X  30                ,,125,INTERNATIONAL COSMECEUTICALS       ,14457159044,0.01,0,0,0,,,,,,,,,,,,,
353,MANIDON TAB 40 MG X 50              ,,6,"ABBOTT LABORATORIES,*REG*          ",7703323599611,0.01,0,0,0,,,,,,,,,,,,,
354,BARIN PVO X 150   G                 ,,240,"MEGALABS VZL, C.A.                 ",7591955001103,0.01,0,0,0,,,,,,,,,,,,,
355,BARIN SUS X 350 ML                  ,,240,"MEGALABS VZL, C.A.                 ",7591955001110,0.01,0,0,0,,,,,,,,,,,,,
357,BUPRODOL COM 400 MG X 20            ,IBUPROFENO,76,COMPAÑÍA ANONIMA FARMACEUTICA      ,7592636000149,1.17,0,0,0,,,,,,,,,,,,,
358,MANIDON TAB 80 MG X  50             ,,6,"ABBOTT LABORATORIES,*REG*          ",7896255701020,0.01,0,0,0,,,,,,,,,,,,,
359,MANIDON RETARD 240 MG X 10  KNOLL   ,,7,"ABBOTT LABORATORIES, C.A.          ",7896255701037,0.01,0,0,0,,,,,,,,,,,,,
361,IRUXOL SIMPLEX UNG/100 G X 15 G     ,,7,"ABBOTT LABORATORIES, C.A.          ",7896255700986,0.01,0,0,0,,,,,,,,,,,,,
380,DILANTIN CAP 100 MG X 100           ,,953,PFIZER VENEZUELA  S.A.             ,7591257004826,0.01,0,0,0,,,,,,,,,,,,,
394,BENADON COM 300 MG  X  10           ,,41,"BAYER, S.A.                        ",7591165910219,0.01,0,0,0,,,,,,,,,,,,,
400,NEURONTIN CAP 300 MG X 20           ,,953,PFIZER VENEZUELA  S.A.             ,7702134514202,0.01,0,0,0,,,,,,,,,,,,,
403,LOPID TAB  600 MG X  20             ,,953,PFIZER VENEZUELA  S.A.             ,7702134705419,0.01,0,0,0,,,,,,,,,,,,,
407,PONSTAN TAB 500 MG  X 10            ,,691,PFIZER VENEZUELA  S.A.             ,7702134388544,0.01,0,0,0,,,,,,,,,,,,,
411,BENUTREX B 12 AMP X 10 ML           ,,183,"ASPEN VENEZUELA, C.A.              ",7897572001077,0.01,0,0,0,,,,,,,,,,,,,
412,BENUTREX GRA X 30                   ,,183,"ASPEN VENEZUELA, C.A.              ",7897572001084,0.01,0,0,0,,,,,,,,,,,,,
413,SUPOSITORIO GLIC INF X 12 PFIZER    ,,953,PFIZER VENEZUELA  S.A.             ,7591257001535,0.01,0,0,0,,,,,,,,,,,,,
414,SUPOSITORIO GLIC NIÑO X 12 PFIZER   ,,953,PFIZER VENEZUELA  S.A.             ,7591257001498,0.01,0,0,0,,,,,,,,,,,,,
422,SUPOSITORIO GLICERINA ADU X 12 PFIZE,,953,PFIZER VENEZUELA  S.A.             ,7591257001481,0.01,0,0,0,,,,,,,,,,,,,
435,MICARDIS TAB 80 MG X 14             ,,57,"BOEHRINGER INGELHEIM, C.A.         ",7591223977949,0.01,0,0,0,,,,,,,,,,,,,
437,"LENDORMIN COMP 0,25 MG X 30         ",,56,BOEHRINGER C.A.*PSICOTROPICOS*     ,4048846003577,0.01,0,0,0,,,,,,,,,,,,,
442,AZITROMICINA TAB 500 MG X 3 ELTER   ,,928,"LABORATORIOS LA SANTE, C.A.* E.REG ",7703763700110,0.01,0,0,0,,,,,,,,,,,,,
449,BETADERM CRM X 15 G                 ,,512,"BIOTECH LABORATORIOS, C.A.         ",7591244804125,0.01,0,0,0,,,,,,,,,,,,,
22847,ACETAMINOFEN JBE 180MG/5ML PED X 120,ACETAMINOFEN,1327,"ALESS PHARMACEUTICALS, C.A         ",7597758000459,28.71,3552,-,30,,,,,,,,,,,,,
477,BETNOVATE SOL CAPILAR X 15 CC       ,,355,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",7592485610827,0.01,0,0,0,,,,,,,,,,,,,
479,BETNOVATE CRM X 30 G                ,,1013,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",7896269905797,0.01,0,0,0,,,,,,,,,,,,,
483,SERETIDE INH 25MCG/125MCG 120 DOSI  ,,355,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",5034643010886,0.01,0,0,0,,,,,,,,,,,,,
484,OROZIM COM/REC X 20                 ,PANCREATINA,511,"BIOTECH LABORATORIOS, C.A.         ",7591243839753,44.44,0,0,35,,,,,,,,,,,,,
497,BINERISONA CRM AL 1% X  10 G        ,,41,"BAYER, S.A.                        ",7501303406016,0.01,0,0,0,,,,,,,,,,,,,
95342,ACETAMINOFEN JBE PED 150MGX120ML LA ,ACETAMINOFEN,348,"LABORATORIOS LA SANTE, C.A.*ELTER  ",7592454003100,24.61,800,-,30,,,,,,,,,,,,,
1978,ACETAMINOFEN JBE S/ALC X 120 ML COFA,ACETAMINOFEN,481,"LABORATORIOS COFASA, S.A.          ",7591818132074,25.45,534,-,21,,,,,,,,,,,,,
534,OMEVAX CAP 20 MG X 28               ,,189,LABORATORIOS VIVAX PHARMACEUTICALS ,7592432002835,0.01,0,0,0,,,,,,,,,,,,,
540,AMPICILINA PVO 250 MG X 60 ML GENVEN,,363,"GENVEN GENERICOS VENEZOLANOS, S.A. ",7591585170569,0.01,0,0,0,,,,,,,,,,,,,
549,BONIFEN GRA 100 MG X 20             ,,613,"MERCK, S.A.                        ",7702418000605,0.01,0,0,0,,,,,,,,,,,,,
98401,ACETAMINOFEN SOL 120 MG/5ML X100 ML ,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000850855,13.57,1720,-,25,,,,,,,,,,,,,
556,CIPROFLOXACINA TAB 500 MG X6 2X1 ELT,,348,"LABORATORIOS LA SANTE, C.A.*ELTER  ",7703763080700,0.01,0,0,0,,,,,,,,,,,,,
569,BRAL INY 2 ML X 4                   ,,512,"BIOTECH LABORATORIOS, C.A.         ",7591243806625,0.01,0,0,0,,,,,,,,,,,,,
574,BRAL TAB 300 MG X 100               ,,511,"BIOTECH LABORATORIOS, C.A.         ",7591243806960,0.01,0,0,0,,,,,,,,,,,,,
14455,ACETAMINOFEN SOL 180 MG/5 ML X 120 M,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000850824,19.29,2368,-,25,,,,,,,,,,,,,
22366,ACETAMINOFEN TAB 500 MG 10 X 10     ,ACETAMINOFEN,1404,"CASA DE REPRESENTACIONES INSUMED, C",7702605100019,63.74,116,-,0,,,,,,,,,,,,,
23095,ACETAMINOFEN TAB 500 MG X 100 LATT M,ACETAMINOFEN,1429,CASA DE REPRESENTACION LATTAN MEDIC,720524031105,62.75,318,-,30,,,,,,,,,,,,,
22400,ACETAMINOFEN TAB 500 MG X 12 BIOQ   ,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000850626,7.48,780,-,25,,,,,,,,,,,,,
612,DUOPLANT GEL X 15 G                 ,,52,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",7501406817009,0.01,0,0,0,,,,,,,,,,,,,
613,ADVANTAN CRM AL 01% X 15 G          ,,41,"BAYER, S.A.                        ",7795320050127,0.01,0,0,0,,,,,,,,,,,,,
624,FOSAMAX TAB 70 MG X 4               ,,594,"MSD FARMACEUTICA,C.A               ",7501326027038,0.01,0,0,0,,,,,,,,,,,,,
20503,ACETAMINOFEN TAB 500 MG X 20        ,ACETAMINOFEN,1327,"ALESS PHARMACEUTICALS, C.A         ",7597758000596,12.3,4061,-,30,,,,,,,,,,,,,
637,BUSCAPINA TAB 10 MG X 24            ,HIOSCINA,1238,"DOLLY FARMA, C.A                   ",7501165011649,84.97,0,0,0,,,,,,,,,,,,,
639,ZOCOR TAB 80 MG X 10                ,,594,"MSD FARMACEUTICA,C.A               ",7502241940525,0.01,0,0,0,,,,,,,,,,,,,
640,BUSCAPINA GRA X 20                  ,,1024,"BOEHRINGER INGELHEIM, C.A.         ",4048846003706,0.01,0,0,0,,,,,,,,,,,,,
642,CORMAC COM 50 MG X 10               ,,566,"LABORATORIOS LETI, S.A.V. *REG*    ",7591585118950,0.01,0,0,0,,,,,,,,,,,,,
7537,ACETAMINOFEN TAB 500 MG X 20 LA SANT,ACETAMINOFEN,348,"LABORATORIOS LA SANTE, C.A.*ELTER  ",7592454000031,14.88,604,-,30,,,,,,,,,,,,,
22401,ACETAMINOFEN TAB 500 MG X 24 BIOQ   ,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000850633,12.31,621,-,25,,,,,,,,,,,,,
24465,ACETAMINOFEN TAB 500 MG X 5 X 20 BLI,,348,"LABORATORIOS LA SANTE, C.A.*ELTER  ",7592454003384,66.93,5,0,30,,,,,,,,,,,,,
6236,ACETAMINOFEN TAB 650 MG X 10 CALOX  ,,478,"CALOX INTERNATIONAL, C.A.          ",7591519005264,8.04,3995,-,35,,,,,,,,,,,,,
659,CAFOX JBE PED X 120 ML              ,OXOLAMINA,76,COMPAÑÍA ANONIMA FARMACEUTICA      ,7592636000163,0.03,0,0,0,,,,,,,,,,,,,
11552,ACETAMINOFEN TAB 650 MG X 10 LA SANT,ACETAMINOFEN,348,"LABORATORIOS LA SANTE, C.A.*ELTER  ",7592454001243,9.36,1381,-,30,,,,,,,,,,,,,
672,RYTMONORM TAB 150 MG X 30           ,,7,"ABBOTT LABORATORIES, C.A.          ",7703323500648,0.01,0,0,0,,,,,,,,,,,,,
24464,ACETAMINOFEN TAB 650 MG X 5 X 20 BLI,,348,"LABORATORIOS LA SANTE, C.A.*ELTER  ",7592454003391,84.22,47,-,30,,,,,,,,,,,,,
698,GYNO CANESTEN TAB VAG 100 MG X 6    ,,41,"BAYER, S.A.                        ",7591165820143,0.01,0,0,0,,,,,,,,,,,,,
699,CANESTEN CRM  X 20 G                ,,116,"BAYER, S.A. *ASCENSIA*             ",7591165304902,0.01,0,0,0,,,,,,,,,,,,,
700,CANESTEN CRM X 50 G                 ,,116,"BAYER, S.A. *ASCENSIA*             ",7591165304919,0.01,0,0,0,,,,,,,,,,,,,
710,"COAPROVEL COM 150/12,5 MG X 14      ",IRBESARTAN/HIDROCLOROTIAZIDA,1238,"DOLLY FARMA, C.A                   ",999,44.58,0,0,0,,,,,,,,,,,,,
719,VIT E CAPB 400 MG X 30 B.G          ,,542,"LABORATORIOS BIOGALENIC,C.A.       ",7592804000643,0.01,0,0,0,,,,,,,,,,,,,
721,PRIMPERAN SOL 1MG/ML X 100 ML       ,,1081,"MEDLEY FARMACEUTICA,S.A. (REG)     ",7592205000228,0.01,0,0,0,,,,,,,,,,,,,
723,AMPICILINA INY 1 G X 1 AMP GENVEN   ,,363,"GENVEN GENERICOS VENEZOLANOS, S.A. ",7591585170637,0.01,0,0,0,,,,,,,,,,,,,
746,METFORMINA CLORHIDRATO CAP 500 MG X ,CEFALEXINA,478,"CALOX INTERNATIONAL, C.A.          ",7591519000238,20.64,0,0,35,,,,,,,,,,,,,
750,CEFALEXINA SUS 250 MG X 60 ML CALOX ,,924,"CALOX INTERNATIONAL, C.A.*REGULAD* ",               ,0.01,0,0,0,,,,,,,,,,,,,
751,CEFALEXINA PVO P/SUS 250 MG X 60 ML ,,363,"GENVEN GENERICOS VENEZOLANOS, S.A. ",7591585177001,0.01,0,0,0,,,,,,,,,,,,,
761,DIAFORMINA L.P.COMPDO 850 MG X 20   ,,239,"MEGALABS VZL, C.A.                 ",7730698000299,0.01,0,0,0,,,,,,,,,,,,,
764,CELESTAMINE JBE X 120 ML            ,,594,"MSD FARMACEUTICA,C.A               ",7591099210409,0.01,0,0,0,,,,,,,,,,,,,
772,CELESTONE AMP 1 ML X 1              ,,594,"MSD FARMACEUTICA,C.A               ",7591099132909,0.01,0,0,0,,,,,,,,,,,,,
774,CELESTONE GTA X 15 ML               ,,594,"MSD FARMACEUTICA,C.A               ",7591099202107,0.01,0,0,0,,,,,,,,,,,,,
775,CELESTONE SOLUSPAN AMP X 1 ML       ,,594,"MSD FARMACEUTICA,C.A               ",7591099133906,0.01,0,0,0,,,,,,,,,,,,,
26716,ACETAMINOFEN/CAFEINA TAB 650/65MG X ,,1543,"VINCENTI INTERNACIONAL, C.A        ",8904187887855,21.75,509,-,0,,,,,,,,,,,,,
777,CELESTONE TAB X 30                  ,,594,"MSD FARMACEUTICA,C.A               ",7591099201902,0.01,0,0,0,,,,,,,,,,,,,
26592,ACETAMINOFEN/CLORF TAB 500/4MG X20 G,,1468,"GLOBAL CARE PHARMA, C.A            ",7598828001024,36.84,88,-,40,,,,,,,,,,,,,
11,ACETOBEN JBE 120 ML                 ,GUAIFENESINA,187,COMPAÑÍA ANONIMA PRODUCTOS RONAVA  ,7592806121018,32.14,253,-,10,,,,,,,,,,,,,
780,ANOXEN COM 20 MG X 30               ,,239,"MEGALABS VZL, C.A.                 ",7591619105024,0.01,0,0,0,,,,,,,,,,,,,
826,OVESTIN  TAB 1 MG X 30              ,,183,"ASPEN VENEZUELA, C.A.              ",7897572001145,0.01,0,0,0,,,,,,,,,,,,,
827,OVESTIN TAB 2 MG X 30               ,,183,"ASPEN VENEZUELA, C.A.              ",7897572001152,0.01,0,0,0,,,,,,,,,,,,,
836,CIFARCAINA SOL 1% X 100 ML          ,LIDOCAINA,376,"LABORATORIO BEHRENS, C.A.          ",7592637000155,48.08,0,0,0,,,,,,,,,,,,,
838,TRANGOREX TAB 200 MG X 20           ,,1080,"SANOFI-AVENTIS DE VENEZUELA, S.A   ",3582913026201,0.01,0,0,0,,,,,,,,,,,,,
839,SILVEDERMA CREM 50 G                ,,602,MEDIFARM INVERSIONES Y             ,7591096000140,46.95,0,0,0,,,,,,,,,,,,,
22391,ACEVAL SOL 180MG/5ML PED X 120 ML   ,ACETAMINOFEN,547,"LABORATORIOS VALMOR, C.A.          ",7591020008839,26.8,2,0,20,,,,,,,,,,,,,
848,TOXOIDE TETANICO INY X 1  G.C       ,,476,"GENERICO DE CALIDAD GC,C.A.        ",7591136000222,0.01,0,0,0,,,,,,,,,,,,,
861,VENASTAT CAP X 30                   ,,1024,"BOEHRINGER INGELHEIM, C.A.         ",4048846004185,0.01,0,0,0,,,,,,,,,,,,,
646,ACEVAL TAB 650 MG X 10              ,ACETAMINOFEN,547,"LABORATORIOS VALMOR, C.A.          ",759102008839,11.91,537,-,20,,,,,,,,,,,,,
874,AMBROMUCO COM PED JBE X 120 ML      ,AMBROXOL/CLENBUTEROL,76,COMPAÑÍA ANONIMA FARMACEUTICA      ,7592636000088,0.57,0,0,0,,,,,,,,,,,,,
883,CLOROTRIMETON AMP 10 MG X 1 ML      ,,116,"BAYER, S.A. *ASCENSIA*             ",7591099135306,0.01,0,0,0,,,,,,,,,,,,,
884,CLOROTRIMETON GRA 8 MG X 20         ,,41,"BAYER, S.A.                        ",7591099203807,0.01,0,0,0,,,,,,,,,,,,,
885,CLOROTRIMETON JBE X 120 ML          ,,116,"BAYER, S.A. *ASCENSIA*             ",7591099213905,0.01,0,0,0,,,,,,,,,,,,,
888,CLOROTRIMETON TAB 4 MG X 20         ,,116,"BAYER, S.A. *ASCENSIA*             ",7591099213509,0.01,0,0,0,,,,,,,,,,,,,
902,NENEDENT GEL TOP BUCAL X 10 G       ,,922,"ZUOZ PHARMA,S.A.                   ",7592349906707,0.01,0,0,0,,,,,,,,,,,,,
918,"PULMICORT SUS P/NEB 0,25 MG/ML/2ML X",BUDESONIDA,1367,"GRUPO + 58 , C.A                   ",5000456008143,0.01,0,0,0,,,,,,,,,,,,,
929,ALDACTONE TAB 100 MG X 10           ,,953,PFIZER VENEZUELA  S.A.             ,7591257001832,0.01,0,0,0,,,,,,,,,,,,,
930,ALDACTONE TAB 100 MG X 30           ,,953,PFIZER VENEZUELA  S.A.             ,7591257001849,0.01,0,0,0,,,,,,,,,,,,,
931,ALDACTONE TAB 25 MG X 20            ,,953,PFIZER VENEZUELA  S.A.             ,7591257001856,0.01,0,0,0,,,,,,,,,,,,,
940,COLTRAX AMP 2 ML/4 MG X 2           ,,1080,"SANOFI-AVENTIS DE VENEZUELA, S.A   ",7591044000789,0.01,0,0,0,,,,,,,,,,,,,
941,COLTRAX COM 4 MG X 12               ,,787,"SANOFI-AVENTIS DE VENEZUELA, S. A. ",7591044000772,0.01,0,0,0,,,,,,,,,,,,,
975,ZYRTEC GTA X 10 ML                  ,,355,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",7591110884404,0.01,0,0,0,,,,,,,,,,,,,
976,ZYRTEC SOL ORAL X 60 ML             ,,355,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",7612711530382,0.01,0,0,0,,,,,,,,,,,,,
977,ZYRTEC TAB 10 MG X  10              ,,355,"GLAXOSMITHKLINE VENEZUELA, C.A.    ",7591110884510,0.01,0,0,0,,,,,,,,,,,,,
984,CORILIN  PED N.F GTA X 30 ML        ,,183,"ASPEN VENEZUELA, C.A.              ",7591099204804,0.01,0,0,0,,,,,,,,,,,,,
985,CORICIDIN FORT CAP500MGX10          ,,41,"BAYER, S.A.                        ",7591099304900,0.01,0,0,0,,,,,,,,,,,,,
