Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,,Unnamed: 6,Unnamed: 7,Unnamed: 8,None.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
L-0023,,AMIODARONA 200 MG TABLETAS,3.24,28.606608,BLISTER X 10 TAB,LAND,TA2210001,10/2024,NACIONAL / IMPORTADO,,7598008000113,0,0,,,,,,,,,,,,,,,,
L-0087,,AMITRIPTILINA 25MG TAB,0.46,4.061432,BLISTER X 10 TAB,LAND,TA660003,05/2025,NACIONAL / IMPORTADO,,7598008000748,0,0,,,,,,,,,,,,,,,,
M-1447,,AMLODIPINA 5 MG + ATORVASTATINA 20 MG (ATODIP) X 30 TABLETAS RECUBIERTAS,4.55,40.17286,CAJA X 30 TAB,VALMORCA,14,06/2023,NACIONAL / IMPORTADO,,7591020080774,0,0,,,,,,,,,,,,,,,,
L-0001,,AMLODIPINA BESILATO 10 MG TABLETAS,0.46,4.061432,BLISTER X 10 TAB,LAND,TA2250001,01/2025,NACIONAL / IMPORTADO,,7598008000120,0,0,,,,,,,,,,,,,,,,
L-0002,,AMLODIPINA BESILATO 5 MG TABLETAS,0.4,3.53168,BLISTER X 10 TAB,LAND,T9035,09/2023,NACIONAL / IMPORTADO,,7598008000137,0,0,,,,,,,,,,,,,,,,
L-0040,,AMOXICILINA + CLAV. DE POTASIO (500 MG + 125 MG) 625 MG TABLETAS (EQ. FULGRAM),3.5,30.9022,BLISTER X 10 TAB,LAND,TPC0076A,07/2024,NACIONAL / IMPORTADO,,7598008000144,0,0,,,,,,,,,,,,,,,,
L-0013,,AMOXICILINA 500 MG TABLETAS,1.5,13.2438,BLISTER X 10 TAB,LAND,BCA37002,07/2025,NACIONAL / IMPORTADO,,7598008000151,0,0,,,,,,,,,,,,,,,,
M-1253,,AMOXIVAL (AMOXICILINA) 250MG/5ML X 90 ML POLVO PARA SUSP ORAL ,5.4,47.67768,FRASCO X 90 ML,VALMORCA,435,07/2024,NACIONAL / IMPORTADO,,7591020000758,0,0,,,,,,,,,,,,,,,,
M-1571,,AMOXIVAL (AMOXICILINA) 750 MG/5ML X 70 ML POLVO PARA SUSP ORAL,8.71,76.90233200000002,FRASCO X 70 ML,VALMORCA,159,11/2025,NACIONAL / IMPORTADO,,7591020008082,0,0,,,,,,,,,,,,,,,,
M-1445,,AMOXIVAL (AMOXICILINA) 875 MG X 20 TABLETAS RECUBIERTAS,10.53,92.971476,CAJA X 20 TAB,VALMORCA,91,05/2023,NACIONAL / IMPORTADO,,7591020080613,0,0,,,,,,,,,,,,,,,,
M-1375,,AMPICILINA 1 G AMPOLLA,0.56,4.944352,AMPOLLA,VITALIS,P204178,12/2023,NACIONAL / IMPORTADO,,709193551056,0,0,,,,,,,,,,,,,,,,
M-1284,,AMPICILINA 1 G POLVO PARA INY IM/IV VIAL ***OFERTA***,0.4,3.53168,VIAL,BALAXI,D2008513,07/2023,NACIONAL / IMPORTADO,,6937874104951,0,0,,,,,,,,,,,,,,,,
M-0313,,AMPICILINA 500MG AMP,0.53,4.679476,AMPOLLA,VITALIS,P203864,08/2023,NACIONAL / IMPORTADO,,7707236121587,0,0,,,,,,,,,,,,,,,,
M-0633,,ANALPER CAF (ACETAMINOFEN 500 MG + CAFEINA 40 MG) X 10 TAB,2.1,18.541320000000002,CAJA X 10 TAB,LA SANTÉ,3500941,03/2024,NACIONAL / IMPORTADO,,7592454001212,0,0,,,,,,,,,,,,,,,,
M-0902,,ANAPIR (IBUPROFENO) 200MG X 10 CAPSULAS BLANDAS,1.26,11.124792000000001,CAJA X 10 CAP,FC PHARMA,210023,01/2024,NACIONAL / IMPORTADO,,7593090000157,0,0,,,,,,,,,,,,,,,,
M-0164,,ANAPIR (IBUPROFENO) 400MG X 10 CAPSULAS BLANDAS,2.18,19.247656000000003,CAJA X 10 CAP,FC PHARMA,210020,01/2024,NACIONAL / IMPORTADO,,7593090001024,0,0,,,,,,,,,,,,,,,,
M-0198,,ANTIFOM 40MG COMP REC X 10,4.87,42.998204,CAJA X 10 COMP,LAB. VARGAS,2203021,03/2024,NACIONAL / IMPORTADO,,7592349722925,0,0,,,,,,,,,,,,,,,,
M-1246,,ANTIFOM FORTE 160 MG X 10 COMPRIMIDOS RECUBIERTOS,5.84,51.562528,CAJA X 10 COMP,LAB. VARGAS,2201009,01/2024,NACIONAL / IMPORTADO,,7592349001068,0,0,,,,,,,,,,,,,,,,
M-1065,,APIRET 250MG x 6 SUPOSITORIOS PEDIATRICO,2.75,24.2803,CAJA X 6 SUPOSITORIOS,OFTALMI,082785,08/2024,NACIONAL / IMPORTADO,,7591196007209,0,0,,,,,,,,,,,,,,,,
L-0037,,ATENOLOL 50 MG TABLETAS,0.59,5.2092279999999995,BLISTER X 10 TAB,LAND,TA1960001,06/2024,NACIONAL / IMPORTADO,,7598008000175,0,0,,,,,,,,,,,,,,,,
L-0015,,ATORVASTATINA 20 MG TABLETAS,0.61,5.385812,BLISTER X 10 TAB,LAND,TA1950003,04/2025,NACIONAL / IMPORTADO,,7598008000182,0,0,,,,,,,,,,,,,,,,
L-0014,,ATORVASTATINA 40 MG TABLETAS,1.04,9.182368,CAJA X 10 TAB,LAND,TA1980003,07/2025,NACIONAL / IMPORTADO,,7598008000199,0,0,,,,,,,,,,,,,,,,
M-1827,,ATORVASTATINA 40 MG X 30 TAB,3.4,30.01928,CAJA X 30 TAB,DAC  ,V296,01/2025,NACIONAL / IMPORTADO,,7598578000254,0,0,,,,,,,,,,,,,,,,
M-1725,,ATROVERAN (BUTILBROMURO DE HIOSCINA) 10 MG X 10 TAB RECUBIERTAS,5.33,47.059636000000005,CAJA X 10 TAB,LAB. VARGAS,2206033,06/2024,NACIONAL / IMPORTADO,,7592349001129,0,0,,,,,,,,,,,,,,,,
M-1726,,ATROVERAN (BUTILBROMURO DE HIOSCINA) 10 MG/ML X 15 ML SOL GOTAS ,4.56,40.261151999999996,FRASCO X 15 ML,LAB. VARGAS,2205005,05/2024,NACIONAL / IMPORTADO,,7592349722161,0,0,,,,,,,,,,,,,,,,
L-0038,,AZITROMICINA 500 MG TABLETAS X 3,2.08,18.364736,CAJA X 3 TAB,LAND,TA2180001-TA2180002,10/2024-04/2025,NACIONAL / IMPORTADO,,7598008000212,0,0,,,,,,,,,,,,,,,,
M-1261,,BACTEVAL (SULFAMETIZOL 250 MG + FENAZOPIRIDINA CLORHIDRATO 50 MG) X 24 COMPRIMIDOS,6.31,55.712252,CAJA X 24 COMP,VALMORCA,177,09/2024,NACIONAL / IMPORTADO,,7591020007825,0,0,,,,,,,,,,,,,,,,
M-1806,,BACTRIZOL (METRONIDAZOL) 5MG/ ML X 100 ML SOLUCION INYECTABLE,4.88,43.086496,FRASCO X 100 ML,LAB BEHRENS,2200093,03/2024,NACIONAL / IMPORTADO,,7592637398498,0,0,,,,,,,,,,,,,,,,
M-0391,,BACTROCIS (MOXIFLOXACINA) CREMA ,1.99,17.570108,TUBO 20G,BOOZ,220028,06/2024,NACIONAL / IMPORTADO,,7597072000227,0,0,,,,,,,,,,,,,,,,
M-1820,,"BACUMER (METRONIDAZOL 2,5% - FLUCONAZOL 2% - DEXAMETASONA 1%) X 20 G CREMA DE USO TOPICO",2.89,25.516388000000003,TUBO X 40 G,BOOZ,220018,05/2024,NACIONAL / IMPORTADO,,7597072000258,0,0,,,,,,,,,,,,,,,,
M-1576,,BARROCUTINA TEENS TONICO FACIAL ASTRINGENTE X 120 ML,4.35,38.407019999999996,FRASCO X 120 ML,FC PHARMA,011120,11/2023,NACIONAL / IMPORTADO,,7593090000577,0,0,,,,,,,,,,,,,,,,
Q-218,,BATA PARA CIRUJANO ESTERIL CON PUÑO,3.9000000000000004,34.43388,UND,CMV,,,MÉDICO / QUIRÚRGICO,1,,0,0,,,,,,,,,,,,,,,,
Q-219,,BATA PARA PACIENTE ESTERIL,1.950980392156863,17.225596078431373,UND,CMV,,,MÉDICO / QUIRÚRGICO,1,,0,0,,,,,,,,,,,,,,,,
M-0389,,BEDUCIS C/GLICERINA X 200 ML,3.59,31.696828,TUBO,BOOZ,220033,06/2024,NACIONAL / IMPORTADO,,7597072000319,0,0,,,,,,,,,,,,,,,,
M-0346,,BENCIDAMINA CLORHIDRATO 0.15% X 120 ML SOLUCION ,2.86,25.251511999999998,FRASCO,COFASA,20182,05/2026,NACIONAL / IMPORTADO,,7591818139004,0,0,,,,,,,,,,,,,,,,
M-0173,,BENFLUX  (AMBROXOL) X 20 TAB ,3.61,31.873412,CAJA X 20 TAB ,POLINAC,41490,02/2025,NACIONAL / IMPORTADO,,7592348203104,0,0,,,,,,,,,,,,,,,,
M-0296,,BETAGEMER (BETAMETASONA 0.1% + GENTAMICINA 0.1% ) CREMA,2.73,24.103716,TUBO,BOOZ,220040,07/2024,NACIONAL / IMPORTADO,,7597072000289,0,0,,,,,,,,,,,,,,,,
L-0097,,BETAMETASONA 4 MG / 1 ML AMP,0.34,3.0019280000000004,AMPOLLA,LAND,BT12109,11/2023,NACIONAL / IMPORTADO,,7598008000779,0,0,,,,,,,,,,,,,,,,
M-1328,,"BETASALICIS (BETAMETASONA 0,1% + ACIDO SALICILICO 0,05%) X 20 G CREMA",3.15,27.81198,TUBO X 20 GR,BOOZ,210082-220035,07/2023-06/2024,NACIONAL / IMPORTADO,,7597072001149,0,0,,,,,,,,,,,,,,,,
M-0759,,BEVINDAZOL 400MG/10ML SUSPENSION,2,17.6584,FRASCO,LAB VINCENTI,2260001,06/2024,NACIONAL / IMPORTADO,,7592782000055,0,0,,,,,,,,,,,,,,,,
M-1193,,BEXILON (BROMEXINA) 4MG/5ML X 120 ML JARABE,1.72,15.186224,FRASCO X 120 ML,PLUSANDEX,6625,09/2023,NACIONAL / IMPORTADO,,7594001100065,0,0,,,,,,,,,,,,,,,,
M-0515,,BICARBONATO DE SODIO  5% 100 ML,3.61,31.873412,FRASCO,LAB BEHRENS,2000147,11/2025,NACIONAL / IMPORTADO,,7592637000100,0,0,,,,,,,,,,,,,,,,
M-1234,,BIOPRAZOL (OMEPRAZOL) 20 MG TABLETAS DE LIBERACION RETARDADA,0.48,4.238016,BLISTER X 10 TAB,BIOVENEZUELA,LV21GC902,06/2024,NACIONAL / IMPORTADO,,8904187880023,0,0,,,,,,,,,,,,,,,,
M-0780,,BIPROLIL (BISOPROLOL) 5 MG X 15 COMP REC ,2.72,24.015424000000003,CAJA X 15 COMP,LAB. VARGAS,2203003,03/2024,NACIONAL / IMPORTADO,,7592349723557,0,0,,,,,,,,,,,,,,,,
L-0041,,BISACODILO 5 MG TABLETAS (EQ. DULCOLAX),0.5,4.4146,BLISTER X 10 TAB,LAND,TB530001,04/2025,NACIONAL / IMPORTADO,,7598008000229,0,0,,,,,,,,,,,,,,,,
M-1833,,"BISOPROLOL FUMARATO 2,5 MG X 10 TAB (EQ. ANTAAR)",0.91,8.034572,BLISTER X 10 TAB,JMW,BIAT2102,10/2024,NACIONAL / IMPORTADO,,18906047594641,0,0,,,,,,,,,,,,,,,,
M-1834,,BISOPROLOL FUMARATO 5 MG X 10 TAB (EQ. ANTAAR),0.56,4.944352,BLISTER X 10 TAB,JMW,BIBT2102,10/2024,NACIONAL / IMPORTADO,,18906047594634,0,0,,,,,,,,,,,,,,,,
M-1329,,BOOZSPORT (SALICILATO METILICO 10% + MENTOL 7% + ALCANFOR 2%) X 40 G CREMA,2.13,18.806196,TUBO X 40 G,BOOZ,210058,07/2023,NACIONAL / IMPORTADO,,7597072001187,0,0,,,,,,,,,,,,,,,,
M-0792,,"BOROCANFOR ""COOL"" POLVO ANTISEPTICO X 60 GR",1.97,17.393524,FRASCO,LAB. VITA,2208301,08/2024,NACIONAL / IMPORTADO,,75930523,0,0,,,,,,,,,,,,,,,,
M-0790,,"BOROCANFOR ""ORIGINAL"" POLVO ANTISEPTICO X 120 GR",3.14,27.723688000000003,FRASCO,LAB. VITA,2208502,08/2024,NACIONAL / IMPORTADO,,75930530,0,0,,,,,,,,,,,,,,,,
