Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Clasificación
TABLETAS,7598127000988,004148,,ACETAMINOFEN + PLUS 800 MG X 10 TABLETAS BLUE MEDICAL,ACETAMINOFEN,BLUE MEDICAL,0.8,0,0.8,0.08000000000000002,0.72,522,2024-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7591818132074,005782,,ACETAMINOFEN 120 MG / 5 ML JARABE 120 ML COFASA,ACETAMINOFEN,COFASA,3.15,0,3.15,0.315,2.835,201,2026-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,6942189530180,007486,,ACETAMINOFEN 160 MG / 5 ML SUSPENSION ORAL PEDIATRICO 100 ML KMPLUS,ACETAMINOFEN,KMPLUS,1.65,0,1.65,0.165,1.4849999999999999,1857,2025-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,681131235204,005399,,ACETAMINOFEN 500 MG X 100 TABLETAS EQUATE,ACETAMINOFEN,EQUATE,4.45,0,4.45,0.44500000000000006,4.005,57,2023-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,1890604759445,004453,,ACETAMINOFEN 500MG +TIOCOLCHICOSIDO 4MG X10 TAB (JMW),ACETAMINOFEN-TIOCOLCHICOSIDO,JMW,4.21,0,4.21,0.42100000000000004,3.7889999999999997,706,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7703038040293,000017,,ACETAMINOFEN 500MG X 10TAB  LAPROFF,ACETAMINOFEN,LAPROFF,0.3,0,0.3,0.03,0.27,14331,2024-02-28 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592454001243,003596,,ACETAMINOFEN 650 MG X 10 TABLETAS LA SANTE,ACETAMINOFEN,LA SANTE,0.95,0,0.95,0.095,0.855,454,2024-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,6942189530159,002291,,ACETAMINOFEN SUSPENSION ORAL PED 125 MG / 5 ML X 60 ML (KMPLUS),ACETAMINOFEN,KMPLUS,1.45,0,1.45,0.145,1.305,985,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,1890604759444,004185,,ACETAMINOFEN+IBUPROFENO+CAFEINA 325//200/40 MG X10 TABLETAS JMW (BLISTER),ACETAMINOFEN+IBUPROFENO+CAFEINA,JMW,1.26,0,1.26,0.126,1.134,520,2024-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,8904209444387,007973,,ACETONIDO DE TRIAMCINOLONA 10 MG / ML SOLUCION INYECTABLE I.A / I.S X 1 ML VINCENTI,ACETONIDO DE TRIAMCINOLONA,VINCENTI,6.6,3,6.4,0.6400000000000001,5.76,43,2024-12-31 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7591020006156,002207,,ACEVAL 100 MG / ML SOLUCION GOTAS PEDIATRICA 30 ML,ACETAMINOFEN,VALMORCA,3.12,0,3.12,0.31200000000000006,2.808,14,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591020000611,002182,,ACEVAL 650 MG X 10 TABLETAS,ACETAMINOFEN,VALMORCA,1.4,0,1.4,0.13999999999999999,1.26,336,2027-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591020008471,008039,,ACEVAL 650 MG X 50 TABLETAS,ACETAMINOFEN,VALMORCA,6,0,6,0.6000000000000001,5.4,48,2027-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591585111838,008431,,ACICLOR 1 GR X 10 COMPRIMIDOS,ACICLOVIR,LABORATORIOS LETI,11.4,5,10.83,1.083,9.747,38,2025-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598008000090,001470,,ACICLOVIR 200 MG X 10 TABLETAS LAND,ACICLOVIR,LAND,1.11,0,1.11,0.11100000000000002,0.9990000000000001,544,2024-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591519005639,008045,,ACICLOVIR 200 MG X 25 TABLETAS CALOX,ACICLOVIR,CALOX,4.1,10,3.69,0.369,3.3209999999999997,14,2025-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,6921875010748,000022,,ACICLOVIR 200MG X 10 TAB  KMPLUS,ACICLOVIR,KMPLUS,1.15,0,1.15,0.11499999999999999,1.035,411,2023-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7707236126476,000024,,ACICLOVIR 250 MG SOLUCION INYECTABLE I.V X 1 AMPOLLA VITALIS,ACICLOVIR,VITALIS,2.8,0,2.8,0.27999999999999997,2.52,100,2025-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8904278580986,008430,,ACICLOVIR 400 MG X 10 TABLETAS FAHD,ACICLOVIR,FAHD,1.15,0,1.15,0.11499999999999999,1.035,260,2024-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,18901790680214,001497,,ACIDO ACETILSALICILICO 100 MG X 10 TAB CAPLIN POINT,ACIDO ACETILSALICILICO,CAPLIN POINT,0.2,0,0.2,0.020000000000000004,0.18,627,2023-10-07 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,6921875010755,000030,,ACIDO ACETILSALICILICO 100MG X 30 TAB KMPLUS,ACIDO ACETILSALICILICO,KMPLUS,1.1,0,1.1,0.11000000000000001,0.9900000000000001,865,2024-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598127001046,004149,,ACIDO ACETILSALICILICO 81 MG X 30 TABLETAS BLUE MEDICAL,ACIDO ACETILSALICILICO,BLUE MEDICAL,1.2,0,1.2,0.12,1.08,358,2025-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,8904159488974,001786,,ACIDO ASCORBICO 100 MG - 5ML AMP COLIN,ACIDO ASCORBICO,COLIN,1.2,0,1.2,0.12,1.08,5791,2023-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,8904159499772,001667,,ACIDO ASCORBICO 100MG/ML X 1 AMP - 10ML  ADN MEDICAL,ACIDO ASCORBICO,ADN MEDICAL,1.3,10,1.17,0.11699999999999999,1.053,3575,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,17598252101540,001569,,ACIDO ASCORBICO 500 MG / 5 CC VITAMINA C AMPOLLA DISTRILAB,VITAMINA C,DISTRILAB,0.85,0,0.85,0.085,0.765,255,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001451983,000033,,ACIDO BORICO 25 GR RECETTE MARK,ACIDO BORICO,RECETTE MARK,2.436,0,2.436,0.2436,2.1924,12,2025-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7599028000572,004861,,ACIDO BORICO SOBRE 20 GR LYA,"ACIDO BORICO_x000D_
","LABORATORIOS LYA, C.A",1.7,0,1.7,0.17,1.53,57,2025-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7599028000787,001574,,ACIDO BORICO VAGINAL 400 MG X 10 CAPSULAS LYA,"ACIDO BORICO_x000D_
","LABORATORIOS LYA, C.A",3.3,0,3.3,0.33,2.9699999999999998,86,2025-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7702184011928,000039,,ACIDO FOLICO 1 MG X 10 TABLETAS ECAR,ACIDO FOLICO,ECAR,0.3,0,0.3,0.03,0.27,5161,2023-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,1759825210157,000036,,ACIDO FOLICO 10 MG / 2 ML SOLUCION INYECTABLE I.M / I.V X 1 AMPOLLA DISTRILAB,ACIDO FOLICO,DISTRILAB,1.9,0,1.9,0.19,1.71,773,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7591619501031,005627,,ACIDO FOLICO 10 MG SOLUCION GOTAS -15 ML KLINOS,ACIDO FOLICO,KLINOS,4.85,0,4.85,0.485,4.364999999999999,176,2025-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601303206,004272,,ACIDO FOLICO 10 MG X 10  TAB  (MEYER),ACIDO FOLICO,MEYER,0.9,0,0.9,0.09000000000000001,0.81,398,2023-10-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906078135625,002719,,ACIDO FOLICO 10 MG X 10 TAB (ZUZU),ACIDO FOLICO,ZUZU,0.6,0,0.6,0.06,0.54,2109,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591619501024,005626,,ACIDO FOLICO 10 MG X 20 COMPRIMIDOS KLINOS,ACIDO FOLICO,KLINOS,1.97,0,1.97,0.197,1.773,148,2026-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591519004892,000035,,ACIDO FOLICO 10 MG X 20 TABLETAS CALOX,ACIDO FOLICO,CALOX,1.5,0,1.5,0.15000000000000002,1.35,51,2025-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592349926194,007581,,ACIDO FOLICO 10 MG X 20 TABLETAS GENERICO DE CALIDAD,ACIDO FOLICO,GENERICO DE CALIDAD,1.3,0,1.3,0.13,1.17,135,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601300021,005245,,ACIDO FOLICO 10 MG X 20 TABLETAS MEYER,ACIDO FOLICO,MEYER,1.75,0,1.75,0.17500000000000002,1.575,59,2023-01-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591020008174,002204,,ACIDO FOLICO 10 MG X 30 COMP (GENCER),ACIDO FOLICO,GENCER,2.2,0,2.2,0.22000000000000003,1.9800000000000002,22,2027-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591619000220,003250,,ACIDO FOLICO 10 MG X 30 COMPRIMIDOS KLINOS,ACIDO FOLICO,KLINOS,2.77,0,2.77,0.277,2.493,238,2027-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598833000012,004487,,ACIDO FOLICO 10 MG X 30 TABLETAS (LAB. VERMA),ACIDO FOLICO,VERMA,2,0,2,0.2,1.8,333,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591585271495,002736,,ACIDO FOLICO 10 MG X 30 TABLETAS GENVEN,ACIDO FOLICO,LABORATORIOS LETI,1.9,5,1.81,0.18100000000000002,1.629,168,2024-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601301486,005246,,ACIDO FOLICO 10 MG X 30 TABLETAS MEYER,ACIDO FOLICO,MEYER,2.3,0,2.3,0.22999999999999998,2.07,82,2023-08-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,646824237101,005762,,ACIDO FOLICO 400MCG X 100 TABLETAS NATURAL SYST,ACIDO FOLICO,NATURAL SYSTEMS,6.89,0,6.89,0.6890000000000001,6.201,41,2023-12-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906130230770,003323,,ACIDO FOLICO 5 MG X 10 TAB (BLISTER) BRIXMEDIC,ACIDO FOLICO,BRIX MEDIC,0.3,0,0.3,0.03,0.27,764,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,18901790550579,000041,,ACIDO FOLICO 5 MG X 10 TAB CAPLIN POINT,ACIDO FOLICO,CAPLIN POINT,0.35,0,0.35,0.034999999999999996,0.315,576,2024-08-05 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906078135618,005895,,ACIDO FOLICO 5 MG X 10 TABLETAS ZUZU,"ACIDO FOLICO_x000D_
",ZUZU,0.4,0,0.4,0.04000000000000001,0.36,1632,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601300014,004273,,ACIDO FOLICO 5 MG X 20  TAB  ( MEYER),ACIDO FOLICO,MEYER,2,0,2,0.2,1.8,54,2023-05-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591585271488,005845,,ACIDO FOLICO 5 MG X 30 COMP ( GENVEN),,GENVEN,1.55,0,1.55,0.15500000000000003,1.395,1,2023-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591619000213,000044,,ACIDO FOLICO 5 MG X 30 COMPRIMIDOS KLINOS,ACIDO FOLICO,KLINOS,1.6,0,1.6,0.16000000000000003,1.44,130,,,0,,,,,,,,,,,,,,,,
TABLETAS,7594001101314,001825,,ACIDO FOLICO 5 MG X 30 TABLETAS PLUSANDEX,ACIDO FOLICO,PLUSANDEX,1,0,1,0.1,0.9,21,2026-06-30 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,7468191034779,002915,,ACIDO FUSIDICO 2% CREMA TOPICA 20 GR S.R.L,ACIDO FUSIDICO,"INMENOL INDUSTRIAL LABORATORIOS, S.R.L",5.45,0,5.45,0.545,4.905,107,2024-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598869000093,003955,,ACIDO IBANDRONICO 150 MG X 1 TABLETA NIO,ACIDO IBANDRONICO,NIO PHARMACEUTICAL,2.8,0,2.8,0.27999999999999997,2.52,263,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906005117373,007811,,ACIDO MEFENAMICO 500 MG X 10 TABLETAS UNICURE,ACIDO MEFENAMICO,UNICURE,1.3,0,1.3,0.13,1.17,64,2025-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,18906047595709,007867,,ACIDO SALICILICO UNGUENTO 6% X 20 GR UNILINK,ACIDO SALICILICO,UNILINK,3.8,0,3.8,0.38,3.42,281,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598869002226,006984,,ACIDO URSODEOXICOLICO 300 MG X 30 TABLETAS NIO,ACIDO URSODEOXICOLICO,NIO PHARMACEUTICAL,19.5,0,19.5,1.9500000000000002,17.55,71,2024-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598833000029,004488,,ACIDO VALPROICO  500 MG X 10 TABLETAS (LAB. VERMA),ACIDO VALPROICO,VERMA,1.9,0,1.9,0.19,1.71,718,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,8906089281397,005924,,ACIDO VALPROICO 250 MG / ML SOLCUION ORAL 120 ML JMW,ACIDO VALPROICO,JMW,5.2,0,5.2,0.52,4.68,76,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,796362600032,002517,,ACIDO VALPROICO 250 MG X 10 CAP MEDICK,ACIDO VALPROICO,MEDICK,2.15,0,2.15,0.215,1.9349999999999998,4,2023-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906130230787,004845,,ACIDO VALPROICO 500 MG X 10 TABLETAS  BRIX,ACIDO VALPROICO,BRIX MEDIC,3,0,3,0.30000000000000004,2.7,848,2023-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598252001904,004834,,ACIDO VALPROICO 500 MG X 30 TABLETAS  DISTRILAB,ACIDO VALPROICO,DISTRILAB,5.6,0,5.6,0.5599999999999999,5.04,65,2024-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7707236121761,001943,,ACIDO ZOLEDRONICO 4 MG / 5 ML SOLUCION INYECTABLE I.V X1 AMPOLLA VITALIS,ACIDO ZOLEDRONICO,VITALIS,29.4,0,29.4,2.94,26.459999999999997,14,2025-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7593089000083,007669,,ACITRON - D VERA X 30 CAPSULAS,VITAMINA D3,PRIMAVERA MAF,6.45,0,6.45,0.645,5.805,23,2024-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591519051865,006847,,ACLER 150 MG X 1 TABLETA,ACIDO IBANDRONICO,MCK,3.72,0,3.72,0.37200000000000005,3.3480000000000003,42,2024-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,787790467557,006114,,ACONDICIONADOR ETERNA HAIR PRO CON CÉLULAS MADRE 473 ML ETERNAL,ACONDICIONADOR,ETERNAL,4.756,0,4.756,0.4756,4.2804,24,2025-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591353515608,007870,,ACTIVA SEC PERDIDAS OCASIONALES X 40 UNIDADES,TOALLAS SANITARIAS,PHARSANA,1.972,0,1.972,0.19720000000000001,1.7748,105,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591353680542,006889,,ACTIVA SEC TOALLAS SANITARIAS PERDIDAS ABUNDANTES X 10 UNIDADES,TOALLAS SANITARIAS,ACTIVA SEC,1.508,0,1.508,0.15080000000000002,1.3572,1305,2024-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
ONCOLOGICOS,8906032830801,008204,,ADCIST - 50 - 500 MG X 1 VIAL 50 ML,CISPLATINO,ADLEY,19.3,0,19.3,1.9300000000000002,17.37,26,2024-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592710000843,003526,,ADELGASEN 400 MG X 60 CAPSULAS HERBAPLANT,ALCACHOFA - SEN,HERBAPLANT,7.8,0,7.8,0.78,7.02,40,2025-06-17 00:00:00,,0,,,,,,,,,,,,,,,,
